"FREQ";"GEO";"GEO_OBJECT";"LEGAL_FORM";"SIDE_MEASURE";"TIME_PERIOD";"OBS_VALUE"
"A";"64";"DEP";"_T";"BURE";2014;6042
"A";"47";"DEP";"_T";"BURE";2024;4151
"A";"36";"DEP";"_T";"BURE";2023;1928
"A";"44";"REG";"_T";"BURE";2015;33719
"A";"55";"DEP";"_T";"BURE";2015;884
"A";"976";"DEP";"_T";"BURE";2019;1017
"A";"79";"DEP";"_T";"BURE";2016;2015
"A";"13";"DEP";"_T";"BURE";2017;24407
"A";"46";"DEP";"_T";"BURE";2014;1433
"A";"03";"DEP";"_T";"BURE";2020;2533
"A";"03";"REG";"_T";"BURE";2024;3540
"A";"94";"DEP";"_T";"BURE";2018;21890
"A";"11";"DEP";"_T";"BURE";2017;3481
"A";"71";"DEP";"_T";"BURE";2021;5985
"A";"32";"DEP";"57";"BURE";2018;194
"A";"03";"DEP";"ENTIND_X_MICRO";"BURE";2017;513
"A";"72";"DEP";"57";"BURE";2015;233
"A";"24";"REG";"ENTIND_X_MICRO";"BURE";2018;5066
"A";"53";"REG";"ENTIND_X_MICRO";"BURE";2015;5475
"A";"54";"DEP";"_T";"BURE";2014;4785
"A";"66";"DEP";"_T";"BURE";2023;7768
"A";"971";"DEP";"_T";"BURE";2015;4263
"A";"976";"DEP";"_T";"BURE";2021;1802
"A";"59";"DEP";"_T";"BURE";2020;29078
"A";"63";"DEP";"_T";"BURE";2024;8299
"A";"33";"DEP";"_T";"BURE";2016;18839
"A";"26";"DEP";"_T";"BURE";2023;7395
"A";"41";"DEP";"_T";"BURE";2021;3356
"A";"42";"DEP";"_T";"BURE";2018;6733
"A";"24";"REG";"_T";"BURE";2024;31211
"A";"75";"REG";"_T";"BURE";2014;51282
"A";"44";"DEP";"54";"BURE";2022;2239
"A";"15";"DEP";"54";"BURE";2020;80
"A";"71";"DEP";"ENTIND_X_MICRO";"BURE";2020;897
"A";"93";"REG";"MICRO";"BURE";2019;48563
"A";"10";"DEP";"OTH_SIDE";"BURE";2015;54
"A";"2A";"DEP";"MICRO";"BURE";2012;1093
"A";"75";"REG";"57";"BURE";2012;1702
"A";"43";"DEP";"57";"BURE";2012;63
"A";"50";"DEP";"MICRO";"BURE";2014;1096
"A";"21";"DEP";"OTH_SIDE";"BURE";2015;104
"A";"24";"DEP";"MICRO";"BURE";2013;1525
"A";"57";"DEP";"MICRO";"BURE";2013;3273
"A";"11";"DEP";"MICRO";"BURE";2013;2034
"A";"18";"DEP";"57";"BURE";2013;82
"A";"36";"DEP";"57";"BURE";2012;41
"A";"33";"DEP";"ENTIND_X_MICRO";"BURE";2012;2725
"A";"07";"DEP";"ENTIND_X_MICRO";"BURE";2024;571
"A";"973";"DEP";"MICRO";"BURE";2024;1798
"A";"94";"DEP";"54";"BURE";2022;1593
"A";"62";"DEP";"57";"BURE";2024;1767
"A";"66";"DEP";"_T";"BURE";2012;5115
"A";"03";"DEP";"ENTIND_X_MICRO";"BURE";2024;525
"A";"21";"DEP";"OTH_SIDE";"BURE";2023;124
"A";"53";"DEP";"ENTIND_X_MICRO";"BURE";2024;415
"A";"44";"REG";"MICRO";"BURE";2023;41337
"A";"27";"REG";"OTH_SIDE";"BURE";2022;429
"A";"52";"DEP";"MICRO";"BURE";2023;904
"A";"49";"DEP";"_T";"BURE";2013;5013
"A";"06";"REG";"OTH_SIDE";"BURE";2017;9
"A";"83";"DEP";"57";"BURE";2015;1915
"A";"75";"DEP";"OTH_SIDE";"BURE";2017;1957
"A";"59";"DEP";"57";"BURE";2017;3182
"A";"90";"DEP";"MICRO";"BURE";2015;350
"A";"50";"DEP";"ENTIND_X_MICRO";"BURE";2015;694
"A";"94";"REG";"OTH_SIDE";"BURE";2016;120
"A";"02";"DEP";"OTH_SIDE";"BURE";2017;75
"A";"87";"DEP";"OTH_SIDE";"BURE";2015;28
"A";"06";"REG";"57";"BURE";2017;40
"A";"78";"DEP";"54";"BURE";2017;1396
"A";"66";"DEP";"ENTIND_X_MICRO";"BURE";2016;1277
"A";"19";"DEP";"_T";"BURE";2022;2587
"A";"92";"DEP";"_T";"BURE";2022;36273
"A";"48";"DEP";"_T";"BURE";2017;486
"A";"2A";"DEP";"_T";"BURE";2021;2925
"A";"82";"DEP";"_T";"BURE";2022;3564
"A";"95";"DEP";"_T";"BURE";2019;19795
"A";"46";"DEP";"_T";"BURE";2019;1707
"A";"08";"DEP";"_T";"BURE";2023;2560
"A";"53";"REG";"_T";"BURE";2024;41653
"A";"23";"DEP";"_T";"BURE";2017;702
"A";"17";"DEP";"_T";"BURE";2018;6923
"A";"38";"DEP";"_T";"BURE";2023;18655
"A";"89";"DEP";"MICRO";"BURE";2018;1217
"A";"03";"REG";"OTH_SIDE";"BURE";2019;35
"A";"50";"DEP";"MICRO";"BURE";2019;1954
"A";"65";"DEP";"54";"BURE";2020;187
"A";"03";"REG";"54";"BURE";2019;112
"A";"62";"DEP";"OTH_SIDE";"BURE";2021;178
"A";"44";"REG";"54";"BURE";2020;3856
