,Region,Taux de chômage par région,TIME_VALUE
0,Auvergne-Rhône-Alpes,8.975,2015
1,Auvergne-Rhône-Alpes,8.775,2016
2,Auvergne-Rhône-Alpes,8.125,2017
3,Auvergne-Rhône-Alpes,7.725,2018
4,Auvergne-Rhône-Alpes,7.3,2019
5,Auvergne-Rhône-Alpes,7.1,2020
6,Auvergne-Rhône-Alpes,6.925,2021
7,Auvergne-Rhône-Alpes,6.225,2022
8,Auvergne-Rhône-Alpes,6.275,2023
9,Auvergne-Rhône-Alpes,6.35,2024
10,Auvergne-Rhône-Alpes,6.45,2025
11,Bourgogne-Franche-Comté,9.325,2015
12,Bourgogne-Franche-Comté,9.0,2016
13,Bourgogne-Franche-Comté,8.2,2017
14,Bourgogne-Franche-Comté,7.725,2018
15,Bourgogne-Franche-Comté,7.4,2019
16,Bourgogne-Franche-Comté,6.925,2020
17,Bourgogne-Franche-Comté,6.625,2021
18,Bourgogne-Franche-Comté,6.25,2022
19,Bourgogne-Franche-Comté,6.4,2023
20,Bourgogne-Franche-Comté,6.55,2024
21,Bourgogne-Franche-Comté,6.75,2025
22,Bretagne,8.9,2015
23,Bretagne,8.65,2016
24,Bretagne,7.925,2017
25,Bretagne,7.525,2018
26,Bretagne,7.025,2019
27,Bretagne,6.825,2020
28,Bretagne,6.4,2021
29,Bretagne,5.825,2022
30,Bretagne,5.925,2023
31,Bretagne,5.95,2024
32,Bretagne,6.1,2025
33,Centre-Val de Loire,9.675,2015
34,Centre-Val de Loire,9.55,2016
35,Centre-Val de Loire,8.85,2017
36,Centre-Val de Loire,8.475,2018
37,Centre-Val de Loire,8.05,2019
38,Centre-Val de Loire,7.4,2020
39,Centre-Val de Loire,7.125,2021
40,Centre-Val de Loire,6.775,2022
41,Centre-Val de Loire,6.8,2023
42,Centre-Val de Loire,6.875,2024
43,Centre-Val de Loire,6.9,2025
44,Corse,10.425,2015
45,Corse,10.0,2016
46,Corse,9.425,2017
47,Corse,8.8,2018
48,Corse,8.075,2019
49,Corse,7.85,2020
50,Corse,6.725,2021
51,Corse,6.1,2022
52,Corse,6.375,2023
53,Corse,6.475,2024
54,Corse,6.35,2025
55,France entière (hors Mayotte),10.35,2015
56,France entière (hors Mayotte),10.025,2016
57,France entière (hors Mayotte),9.4,2017
58,France entière (hors Mayotte),9.025,2018
59,France entière (hors Mayotte),8.45,2019
60,France entière (hors Mayotte),8.025,2020
61,France entière (hors Mayotte),7.85,2021
62,France entière (hors Mayotte),7.275,2022
63,France entière (hors Mayotte),7.3,2023
64,France entière (hors Mayotte),7.375,2024
65,France entière (hors Mayotte),7.5,2025
66,France métropolitaine,10.025,2015
67,France métropolitaine,9.725,2016
68,France métropolitaine,9.1,2017
69,France métropolitaine,8.725,2018
70,France métropolitaine,8.175,2019
71,France métropolitaine,7.85,2020
72,France métropolitaine,7.65,2021
73,France métropolitaine,7.05,2022
74,France métropolitaine,7.1,2023
75,France métropolitaine,7.15,2024
76,France métropolitaine,7.3,2025
77,Grand Est,10.25,2015
78,Grand Est,9.925,2016
79,Grand Est,9.225,2017
80,Grand Est,8.6,2018
81,Grand Est,8.125,2019
82,Grand Est,7.775,2020
83,Grand Est,7.65,2021
84,Grand Est,7.05,2022
85,Grand Est,7.15,2023
86,Grand Est,7.225,2024
87,Grand Est,7.2,2025
88,Hauts-de-France,12.575,2015
89,Hauts-de-France,12.2,2016
90,Hauts-de-France,11.625,2017
91,Hauts-de-France,11.2,2018
92,Hauts-de-France,10.4,2019
93,Hauts-de-France,9.625,2020
94,Hauts-de-France,9.35,2021
95,Hauts-de-France,8.8,2022
96,Hauts-de-France,9.025,2023
97,Hauts-de-France,9.0,2024
98,Hauts-de-France,9.0,2025
99,Normandie,10.25,2015
100,Normandie,10.05,2016
101,Normandie,9.35,2017
102,Normandie,8.9,2018
103,Normandie,8.225,2019
104,Normandie,7.925,2020
105,Normandie,7.55,2021
106,Normandie,6.825,2022
107,Normandie,6.825,2023
108,Normandie,7.05,2024
109,Normandie,7.15,2025
110,Nouvelle-Aquitaine,9.725,2015
