region_nom,Taux de chômage par région,TIME_VALUE,code_region,nb_creations,code_court,population,creations_per_1000
Auvergne-Rhône-Alpes,8.975,2015,84,67388,AURA,7877698.326169,8.55
Auvergne-Rhône-Alpes,8.775,2016,84,71238,AURA,7916889.335674,9.0
Auvergne-Rhône-Alpes,8.125,2017,84,78731,AURA,7948287.344093,9.91
Auvergne-Rhône-Alpes,7.725,2018,84,89087,AURA,7994459.351061,11.14
Auvergne-Rhône-Alpes,7.3,2019,84,106250,AURA,8042936.357721,13.21
Auvergne-Rhône-Alpes,7.1,2020,84,109905,AURA,8078652.364332,13.6
Auvergne-Rhône-Alpes,6.925,2021,84,124197,AURA,8114361.367191,15.31
Auvergne-Rhône-Alpes,6.225,2022,84,125673,AURA,8163884.370721,15.39
Auvergne-Rhône-Alpes,6.275,2023,84,120822,AURA,8196436.374708,14.74
Auvergne-Rhône-Alpes,6.35,2024,84,130063,AURA,8228802.379343,15.81
Bourgogne-Franche-Comté,9.325,2015,27,17750,BFC,2820940.380468,6.29
Bourgogne-Franche-Comté,9.0,2016,27,18393,BFC,2818338.39332,6.53
Bourgogne-Franche-Comté,8.2,2017,27,19814,BFC,2811423.406763,7.05
Bourgogne-Franche-Comté,7.725,2018,27,21893,BFC,2807807.417817,7.8
Bourgogne-Franche-Comté,7.4,2019,27,25259,BFC,2805580.427274,9.0
Bourgogne-Franche-Comté,6.925,2020,27,27278,BFC,2801695.436597,9.74
Bourgogne-Franche-Comté,6.625,2021,27,31472,BFC,2800194.441834,11.24
Bourgogne-Franche-Comté,6.25,2022,27,30749,BFC,2803977.446515,10.97
Bourgogne-Franche-Comté,6.4,2023,27,31209,BFC,2800234.452945,11.15
Bourgogne-Franche-Comté,6.55,2024,27,33291,BFC,2797160.46025,11.9
Bretagne,8.9,2015,53,21567,BRE,3293850.370926,6.55
Bretagne,8.65,2016,53,22198,BRE,3306529.382034,6.71
Bretagne,7.925,2017,53,23721,BRE,3318904.393262,7.15
Bretagne,7.525,2018,53,26677,BRE,3335414.403374,8.0
Bretagne,7.025,2019,53,30400,BRE,3354854.413031,9.06
Bretagne,6.825,2020,53,30802,BRE,3373835.421213,9.13
Bretagne,6.4,2021,53,38190,BRE,3394567.426708,11.25
Bretagne,5.825,2022,53,39099,BRE,3422845.432548,11.42
Bretagne,5.925,2023,53,38586,BRE,3440248.438984,11.22
Bretagne,5.95,2024,53,41653,BRE,3458588.446474,12.04
Centre-Val de Loire,9.675,2015,24,16054,CVL,2578592.374802,6.23
Centre-Val de Loire,9.55,2016,24,16564,CVL,2577866.387626,6.43
Centre-Val de Loire,8.85,2017,24,17551,CVL,2576252.399488,6.81
Centre-Val de Loire,8.475,2018,24,20074,CVL,2572853.409158,7.8
Centre-Val de Loire,8.05,2019,24,23057,CVL,2573180.417845,8.96
Centre-Val de Loire,7.4,2020,24,24540,CVL,2574863.42677,9.53
Centre-Val de Loire,7.125,2021,24,29780,CVL,2573303.433342,11.57
