code_region,TIME_PERIOD,nb_creations,region_nom,code_court,population,creations_per_1000
11,2015,145628,Île-de-France,IDF,12082144.233758,12.05
11,2016,165621,Île-de-France,IDF,12117132.23989,13.67
11,2017,184150,Île-de-France,IDF,12174880.24477,15.13
11,2018,215995,Île-de-France,IDF,12213447.249072,17.69
11,2019,246394,Île-de-France,IDF,12262544.254335,20.09
11,2020,255208,Île-de-France,IDF,12271794.260058,20.8
11,2021,281623,Île-de-France,IDF,12317279.26246,22.86
11,2022,288872,Île-de-France,IDF,12380964.264698,23.33
11,2023,295726,Île-de-France,IDF,12407359.267767,23.83
11,2024,312543,Île-de-France,IDF,12430351.271708,25.14
24,2015,16054,Centre-Val de Loire,CVL,2578592.374802,6.23
24,2016,16564,Centre-Val de Loire,CVL,2577866.387626,6.43
24,2017,17551,Centre-Val de Loire,CVL,2576252.399488,6.81
24,2018,20074,Centre-Val de Loire,CVL,2572853.409158,7.8
24,2019,23057,Centre-Val de Loire,CVL,2573180.417845,8.96
24,2020,24540,Centre-Val de Loire,CVL,2574863.42677,9.53
24,2021,29780,Centre-Val de Loire,CVL,2573303.433342,11.57
24,2022,29798,Centre-Val de Loire,CVL,2581597.438061,11.54
24,2023,29560,Centre-Val de Loire,CVL,2581716.443425,11.45
24,2024,31211,Centre-Val de Loire,CVL,2582015.44966,12.09
27,2015,17750,Bourgogne-Franche-Comté,BFC,2820940.380468,6.29
27,2016,18393,Bourgogne-Franche-Comté,BFC,2818338.39332,6.53
27,2017,19814,Bourgogne-Franche-Comté,BFC,2811423.406763,7.05
27,2018,21893,Bourgogne-Franche-Comté,BFC,2807807.417817,7.8
27,2019,25259,Bourgogne-Franche-Comté,BFC,2805580.427274,9.0
27,2020,27278,Bourgogne-Franche-Comté,BFC,2801695.436597,9.74
27,2021,31472,Bourgogne-Franche-Comté,BFC,2800194.441834,11.24
27,2022,30749,Bourgogne-Franche-Comté,BFC,2803977.446515,10.97
27,2023,31209,Bourgogne-Franche-Comté,BFC,2800234.452945,11.15
27,2024,33291,Bourgogne-Franche-Comté,BFC,2797160.46025,11.9
28,2015,19208,Normandie,NOR,3339131.346701,5.75
28,2016,20256,Normandie,NOR,3335929.359867,6.07
28,2017,21810,Normandie,NOR,3330478.373324,6.55
28,2018,25178,Normandie,NOR,3327477.384022,7.57
28,2019,29058,Normandie,NOR,3325032.394351,8.74
28,2020,31399,Normandie,NOR,3325522.403264,9.44
28,2021,36531,Normandie,NOR,3327966.412019,10.98
28,2022,35492,Normandie,NOR,3339074.418784,10.63
28,2023,35648,Normandie,NOR,3339522.425661,10.67
28,2024,37356,Normandie,NOR,3341043.433306,11.18
32,2015,34616,Hauts-de-France,HDF,6009976.285026,5.76
32,2016,36383,Hauts-de-France,HDF,6006870.29542,6.06
32,2017,39252,Hauts-de-France,HDF,6003815.305614,6.54
32,2018,44867,Hauts-de-France,HDF,6004108.315494,7.47
32,2019,53518,Hauts-de-France,HDF,6004947.324371,8.91
32,2020,56596,Hauts-de-France,HDF,5997734.332979,9.44
32,2021,67335,Hauts-de-France,HDF,5995292.33866,11.23
32,2022,65908,Hauts-de-France,HDF,5998916.344132,10.99
32,2023,64870,Hauts-de-France,HDF,5990292.35015,10.83
32,2024,69913,Hauts-de-France,HDF,5982538.357216,11.69
44,2015,33719,Grand Est,GES,5559051.315378,6.07
44,2016,35938,Grand Est,GES,5555186.326395,6.47
44,2017,38647,Grand Est,GES,5549586.337936,6.96
44,2018,42882,Grand Est,GES,5550389.347286,7.73
44,2019,49283,Grand Est,GES,5556219.356658,8.87
44,2020,53161,Grand Est,GES,5562651.366287,9.56
44,2021,64737,Grand Est,GES,5561287.372741,11.64
44,2022,63710,Grand Est,GES,5560079.378968,11.46
44,2023,62922,Grand Est,GES,5554472.385767,11.33
44,2024,67017,Grand Est,GES,5549724.393823,12.08
52,2015,24899,Pays de la Loire,PDL,3718512.341097,6.7
52,2016,25824,Pays de la Loire,PDL,3737632.352885,6.91
52,2017,28456,Pays de la Loire,PDL,3757600.363534,7.57
52,2018,30670,Pays de la Loire,PDL,3781423.372913,8.11
52,2019,36367,Pays de la Loire,PDL,3806461.380654,9.55
52,2020,38059,Pays de la Loire,PDL,3832120.388635,9.93
52,2021,46328,Pays de la Loire,PDL,3853999.392925,12.02
52,2022,46574,Pays de la Loire,PDL,3879216.398076,12.01
52,2023,44898,Pays de la Loire,PDL,3898424.402649,11.52
