region_nom,Aucun diplôme ou certificat d etudes primaires,Baccalauréat / Brevet professionnel ou équivalent,Diplôme de niveau BAC + 5 ou plus,population,Pourcentage_diplomes_superieur,Pourcentage_aucun_diplome_ou_certificat_d_etudes_primaires,Pourcentage_Baccalauréat / Brevet professionnel ou équivalent
Guyane,146861.1375,49461.23933,23630.48518,288382.127818,8.19,50.93,17.15
La Réunion,426450.68316,210598.99494,80075.70832,881348.244521,9.09,48.39,23.9
Guadeloupe,179247.21469,106203.73552,38225.27083,383569.393763,9.97,46.73,27.69
Martinique,163086.00336,103166.86121,41435.13472,361019.419181,11.48,45.17,28.58
Normandie,1146617.15506,865770.21052,379565.75108,3339074.418784,11.37,34.34,25.93
Hauts-de-France,2037655.13078,1557600.65466,710369.48728,5998916.344132,11.84,33.97,25.96
Centre-Val de Loire,845060.93488,677587.79384,313031.08524,2581597.438061,12.13,32.73,26.25
Bourgogne-Franche-Comté,915621.82979,753480.06584,324117.26664,2803977.446515,11.56,32.65,26.87
Grand Est,1776031.00176,1453868.12046,720325.70863,5560079.378968,12.96,31.94,26.15
Corse,111909.21472,128002.96069,44031.5039,351276.442384,12.53,31.86,36.44
Provence-Alpes-Côte d'Azur,1519546.54283,1460080.51933,937493.79194,5170312.439178,18.13,29.39,28.24
Nouvelle-Aquitaine,1750779.52873,1734826.3698,880656.2323,6113384.459634,14.41,28.64,28.38
Pays de la Loire,1075181.55947,1025994.18538,537812.92844,3879216.398076,13.86,27.72,26.45
Occitanie,1684523.55081,1716280.84738,1035449.55956,6080731.42904,17.03,27.7,28.22
Auvergne-Rhône-Alpes,2202457.24968,2126194.05425,1472198.00842,8163884.370721,18.03,26.98,26.04
Île-de-France,3056102.3182,2834181.17457,3977868.98874,12380964.264698,32.13,24.68,22.89
Bretagne,811637.16942,986272.70748,512378.72716,3422845.432548,14.97,23.71,28.81
