region,region_code,year,population
Auvergne-Rhône-Alpes,84,1975,6111379
Bourgogne-Franche-Comté,27,1975,2632357
Bretagne,53,1975,2596379
Centre-Val-de-Loire,24,1975,2152234
Corse,94,1975,226991
France métropolitaine,FM,1975,52600000
Grand Est,44,1975,5187204
Hauts-de-France,32,1975,5595291
Normandie,28,1975,2902584
Nouvelle-Aquitaine,75,1975,4821082
Occitanie,76,1975,4060465
Pays de la Loire,52,1975,2766891
Provence-Alpes-Côte d'Azur,93,1975,3673480
Île-de-France,11,1975,9873663
Auvergne-Rhône-Alpes,84,1976,6138303
Bourgogne-Franche-Comté,27,1976,2638147
Bretagne,53,1976,2611035
Centre-Val-de-Loire,24,1976,2166650
Corse,94,1976,228610
France métropolitaine,FM,1976,52798338
Grand Est,44,1976,5190390
Hauts-de-France,32,1976,5603187
Normandie,28,1976,2915941
Nouvelle-Aquitaine,75,1976,4837771
Occitanie,76,1976,4082619
Pays de la Loire,52,1976,2789000
Provence-Alpes-Côte d'Azur,93,1976,3709207
Île-de-France,11,1976,9887478
Auvergne-Rhône-Alpes,84,1977,6169056
Bourgogne-Franche-Comté,27,1977,2643952
Bretagne,53,1977,2625332
Centre-Val-de-Loire,24,1977,2181522
Corse,94,1977,230439
France métropolitaine,FM,1977,53019005
Grand Est,44,1977,5193959
Hauts-de-France,32,1977,5609753
Normandie,28,1977,2928742
Nouvelle-Aquitaine,75,1977,4856854
Occitanie,76,1977,4108426
Pays de la Loire,52,1977,2810229
Île-de-France,11,1977,9911232
Auvergne-Rhône-Alpes,84,1978,6202588
Bourgogne-Franche-Comté,27,1978,2651500
Bretagne,53,1978,2641179
Centre-Val-de-Loire,24,1978,2197814
Corse,94,1978,232355
France métropolitaine,FM,1978,53271566
Grand Est,44,1978,5201007
Hauts-de-France,32,1978,5620620
Normandie,28,1978,2943099
Nouvelle-Aquitaine,75,1978,4877950
Occitanie,76,1978,4135829
Pays de la Loire,52,1978,2833260
Provence-Alpes-Côte d'Azur,93,1978,3791131
Île-de-France,11,1978,9943234
Auvergne-Rhône-Alpes,84,1979,6232501
Bourgogne-Franche-Comté,27,1979,2656438
Bretagne,53,1979,2656305
Centre-Val-de-Loire,24,1979,2212207
Corse,94,1979,233805
France métropolitaine,FM,1979,53481073
Grand Est,44,1979,5203674
Hauts-de-France,32,1979,5626772
Normandie,28,1979,2955957
Nouvelle-Aquitaine,75,1979,4895283
Occitanie,76,1979,4159166
Pays de la Loire,52,1979,2855060
Provence-Alpes-Côte d'Azur,93,1979,3830016
Île-de-France,11,1979,9963889
Auvergne-Rhône-Alpes,84,1980,6267442
Bourgogne-Franche-Comté,27,1980,2664007
Bretagne,53,1980,2672575
Centre-Val-de-Loire,24,1980,2227750
Corse,94,1980,235733
France métropolitaine,FM,1980,53731387
Grand Est,44,1980,5210823
Hauts-de-France,32,1980,5637664
Normandie,28,1980,2971205
Nouvelle-Aquitaine,75,1980,4915636
Occitanie,76,1980,4186069
Pays de la Loire,52,1980,2878179
Provence-Alpes-Côte d'Azur,93,1980,3872028
Île-de-France,11,1980,9992276
Auvergne-Rhône-Alpes,84,1981,6307503
Bourgogne-Franche-Comté,27,1981,2673149
Bretagne,53,1981,2690536
Centre-Val-de-Loire,24,1981,2244879
Corse,94,1981,237875
France métropolitaine,FM,1981,54028630
Grand Est,44,1981,5222368
Hauts-de-France,32,1981,5654338
Normandie,28,1981,2989028
Nouvelle-Aquitaine,75,1981,4939550
Occitanie,76,1981,4217113
Pays de la Loire,52,1981,2902849
Provence-Alpes-Côte d'Azur,93,1981,3917774
Île-de-France,11,1981,10031668
Auvergne-Rhône-Alpes,84,1982,6348443
Bourgogne-Franche-Comté,27,1982,2681682
Bretagne,53,1982,2708452
Centre-Val-de-Loire,24,1982,2263124
Corse,94,1982,240175
France métropolitaine,FM,1982,54335000
Grand Est,44,1982,5234734
Hauts-de-France,32,1982,5673591
Normandie,28,1982,3006871
Nouvelle-Aquitaine,75,1982,4962695
Occitanie,76,1982,4248689
Pays de la Loire,52,1982,2927940
Provence-Alpes-Côte d'Azur,93,1982,3963988
Île-de-France,11,1982,10074616
Auvergne-Rhône-Alpes,84,1983,6390373
Bourgogne-Franche-Comté,27,1983,2686242
Bretagne,53,1983,2719508
Centre-Val-de-Loire,24,1983,2281023
Corse,94,1983,241429
France métropolitaine,FM,1983,54649984
Grand Est,44,1983,5241644
Hauts-de-France,32,1983,5704670
Normandie,28,1983,3025457
Nouvelle-Aquitaine,75,1983,4985856
Occitanie,76,1983,4293279
Pays de la Loire,52,1983,2951326
Provence-Alpes-Côte d'Azur,93,1983,3997174
Île-de-France,11,1983,10132003
Auvergne-Rhône-Alpes,84,1984,6429674
Bourgogne-Franche-Comté,27,1984,2691413
Bretagne,53,1984,2728215
Centre-Val-de-Loire,24,1984,2294472
Corse,94,1984,243326
France métropolitaine,FM,1984,54894854
Grand Est,44,1984,5252301
Hauts-de-France,32,1984,5704284
Normandie,28,1984,3043609
Nouvelle-Aquitaine,75,1984,5001706
Occitanie,76,1984,4333975
Pays de la Loire,52,1984,2970886
Provence-Alpes-Côte d'Azur,93,1984,4028503
Île-de-France,11,1984,10172490
Auvergne-Rhône-Alpes,84,1985,6457905
Bourgogne-Franche-Comté,27,1985,2696050
Bretagne,53,1985,2738485
Centre-Val-de-Loire,24,1985,2307725
Corse,94,1985,244455
France métropolitaine,FM,1985,55157303
Grand Est,44,1985,5263949
Hauts-de-France,32,1985,5706937
Normandie,28,1985,3058731
Nouvelle-Aquitaine,75,1985,5021742
Occitanie,76,1985,4375084
Pays de la Loire,52,1985,2986459
Provence-Alpes-Côte d'Azur,93,1985,4060921
Île-de-France,11,1985,10238860
Auvergne-Rhône-Alpes,84,1986,6486414
Bourgogne-Franche-Comté,27,1986,2696203
Bretagne,53,1986,2748893
Centre-Val-de-Loire,24,1986,2319839
Corse,94,1986,245371
France métropolitaine,FM,1986,55411238
Grand Est,44,1986,5270157
Hauts-de-France,32,1986,5718429
Normandie,28,1986,3072918
Nouvelle-Aquitaine,75,1986,5041496
Occitanie,76,1986,4395485
Pays de la Loire,52,1986,3001676
Provence-Alpes-Côte d'Azur,93,1986,4098667
Île-de-France,11,1986,10315690
Auvergne-Rhône-Alpes,84,1987,6519946
Bourgogne-Franche-Comté,27,1987,2699268
Bretagne,53,1987,2759629
Centre-Val-de-Loire,24,1987,2329632
Corse,94,1987,245913
France métropolitaine,FM,1987,55681780
Grand Est,44,1987,5269476
Hauts-de-France,32,1987,5731425
Normandie,28,1987,3082756
Nouvelle-Aquitaine,75,1987,5055656
Occitanie,76,1987,4427505
Pays de la Loire,52,1987,3019731
Provence-Alpes-Côte d'Azur,93,1987,4137834
Île-de-France,11,1987,10403009
Auvergne-Rhône-Alpes,84,1988,6563254
Bourgogne-Franche-Comté,27,1988,2702789
Bretagne,53,1988,2771053
Centre-Val-de-Loire,24,1988,2342323
Corse,94,1988,247175
France métropolitaine,FM,1988,55966142
Grand Est,44,1988,5269323
Hauts-de-France,32,1988,5737249
Normandie,28,1988,3099809
Nouvelle-Aquitaine,75,1988,5075366
Occitanie,76,1988,4462366
Pays de la Loire,52,1988,3026970
Provence-Alpes-Côte d'Azur,93,1988,4177908
Île-de-France,11,1988,10490557
Auvergne-Rhône-Alpes,84,1989,6611182
Bourgogne-Franche-Comté,27,1989,2705519
Bretagne,53,1989,2782881
Centre-Val-de-Loire,24,1989,2356450
Corse,94,1989,248354
France métropolitaine,FM,1989,56269810
Grand Est,44,1989,5275272
Hauts-de-France,32,1989,5751091
Normandie,28,1989,3113944
Nouvelle-Aquitaine,75,1989,5094272
Occitanie,76,1989,4501382
Pays de la Loire,52,1989,3043085
Provence-Alpes-Côte d'Azur,93,1989,4215629
Île-de-France,11,1989,10570749
Auvergne-Rhône-Alpes,84,1990,6668168
Bourgogne-Franche-Comté,27,1990,2705826
Bretagne,53,1990,2794317
Centre-Val-de-Loire,24,1990,2369808
Corse,94,1990,249645
France métropolitaine,FM,1990,56577000
Grand Est,44,1990,5274064
Guadeloupe,01,1990,351844
Guyane,03,1990,113351
Hauts-de-France,32,1990,5770671
Martinique,02,1990,358406
Normandie,28,1990,3126859
Nouvelle-Aquitaine,75,1990,5114287
Occitanie,76,1990,4546249
Pays de la Loire,52,1990,3055197
Provence-Alpes-Côte d'Azur,93,1990,4257244
Île-de-France,11,1990,10644665
Auvergne-Rhône-Alpes,84,1991,6708765
Bourgogne-Franche-Comté,27,1991,2710540
Bretagne,53,1991,2803483
Centre-Val-de-Loire,24,1991,2381407
Corse,94,1991,251659
France métropolitaine,FM,1991,56840661
Grand Est,44,1991,5288277
Guadeloupe,01,1991,354536
Guyane,03,1991,117327
Hauts-de-France,32,1991,5783059
La Réunion,04,1991,607837
Martinique,02,1991,359774
Normandie,28,1991,3139258
Nouvelle-Aquitaine,75,1991,5132928
Occitanie,76,1991,4580630
