creations_per_1000,Pourcentage_diplomes_superieur,Taux de chômage par région,variation_population_pourcentage,densité de population,TIME_PERIOD,region_nom
12.05,32.13,8.875,0.45,1001.09,2015,Île-de-France
13.67,32.13,8.65,0.29,1003.99,2016,Île-de-France
15.13,32.13,8.15,0.48,1008.77,2017,Île-de-France
17.69,32.13,7.9,0.32,1011.97,2018,Île-de-France
20.09,32.13,7.4,0.4,1016.04,2019,Île-de-France
20.8,32.13,7.325,0.08,1016.8,2020,Île-de-France
22.86,32.13,7.5,0.37,1020.57,2021,Île-de-France
23.33,32.13,6.925,0.52,1025.85,2022,Île-de-France
23.83,32.13,6.925,0.21,1028.04,2023,Île-de-France
25.14,32.13,7.0,0.19,1029.94,2024,Île-de-France
6.23,12.13,9.675,0.04,65.23,2015,Centre-Val de Loire
6.43,12.13,9.55,-0.03,65.21,2016,Centre-Val de Loire
6.81,12.13,8.85,-0.06,65.17,2017,Centre-Val de Loire
7.8,12.13,8.475,-0.13,65.09,2018,Centre-Val de Loire
8.96,12.13,8.05,0.01,65.09,2019,Centre-Val de Loire
9.53,12.13,7.4,0.07,65.14,2020,Centre-Val de Loire
11.57,12.13,7.125,-0.06,65.1,2021,Centre-Val de Loire
11.54,12.13,6.775,0.32,65.31,2022,Centre-Val de Loire
11.45,12.13,6.8,0.0,65.31,2023,Centre-Val de Loire
12.09,12.13,6.875,0.01,65.32,2024,Centre-Val de Loire
6.29,11.56,9.325,0.01,58.7,2015,Bourgogne-Franche-Comté
6.53,11.56,9.0,-0.09,58.64,2016,Bourgogne-Franche-Comté
7.05,11.56,8.2,-0.25,58.5,2017,Bourgogne-Franche-Comté
7.8,11.56,7.725,-0.13,58.42,2018,Bourgogne-Franche-Comté
9.0,11.56,7.4,-0.08,58.38,2019,Bourgogne-Franche-Comté
9.74,11.56,6.925,-0.14,58.3,2020,Bourgogne-Franche-Comté
11.24,11.56,6.625,-0.05,58.27,2021,Bourgogne-Franche-Comté
10.97,11.56,6.25,0.14,58.34,2022,Bourgogne-Franche-Comté
11.15,11.56,6.4,-0.13,58.27,2023,Bourgogne-Franche-Comté
11.9,11.56,6.55,-0.11,58.2,2024,Bourgogne-Franche-Comté
5.75,11.37,10.25,0.1,110.79,2015,Normandie
6.07,11.37,10.05,-0.1,110.68,2016,Normandie
6.55,11.37,9.35,-0.16,110.5,2017,Normandie
7.57,11.37,8.9,-0.09,110.4,2018,Normandie
8.74,11.37,8.225,-0.07,110.32,2019,Normandie
9.44,11.37,7.925,0.01,110.34,2020,Normandie
10.98,11.37,7.55,0.07,110.42,2021,Normandie
10.63,11.37,6.825,0.33,110.79,2022,Normandie
10.67,11.37,6.825,0.01,110.8,2023,Normandie
11.18,11.37,7.05,0.05,110.85,2024,Normandie
5.76,11.84,12.575,0.06,188.19,2015,Hauts-de-France
6.06,11.84,12.2,-0.05,188.1,2016,Hauts-de-France
6.54,11.84,11.625,-0.05,188.0,2017,Hauts-de-France
7.47,11.84,11.2,0.0,188.01,2018,Hauts-de-France
8.91,11.84,10.4,0.01,188.04,2019,Hauts-de-France
9.44,11.84,9.625,-0.12,187.81,2020,Hauts-de-France
11.23,11.84,9.35,-0.04,187.73,2021,Hauts-de-France
10.99,11.84,8.8,0.06,187.85,2022,Hauts-de-France
10.83,11.84,9.025,-0.14,187.58,2023,Hauts-de-France
11.69,11.84,9.0,-0.13,187.33,2024,Hauts-de-France
6.07,12.96,10.25,0.08,96.3,2015,Grand Est
6.47,12.96,9.925,-0.07,96.24,2016,Grand Est
6.96,12.96,9.225,-0.1,96.14,2017,Grand Est
7.73,12.96,8.6,0.01,96.15,2018,Grand Est
8.87,12.96,8.125,0.11,96.25,2019,Grand Est
9.56,12.96,7.775,0.12,96.36,2020,Grand Est
11.64,12.96,7.65,-0.02,96.34,2021,Grand Est
11.46,12.96,7.05,-0.02,96.32,2022,Grand Est
11.33,12.96,7.15,-0.1,96.22,2023,Grand Est
