creations_per_1000,Taux de chômage par région,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
12.05,8.875,32.13,0.45,33735.0,2015,Île-de-France
13.67,8.65,32.13,0.29,33901.0,2016,Île-de-France
15.13,8.15,32.13,0.48,34598.0,2017,Île-de-France
17.69,7.9,32.13,0.32,35377.0,2018,Île-de-France
20.09,7.4,32.13,0.4,35902.0,2019,Île-de-France
20.8,7.325,32.13,0.08,37659.0,2020,Île-de-France
22.86,7.5,32.13,0.37,37435.0,2021,Île-de-France
23.33,6.925,32.13,0.52,38620.0,2022,Île-de-France
23.83,6.925,32.13,0.21,39873.0,2023,Île-de-France
6.23,9.675,12.13,0.04,24572.0,2015,Centre-Val de Loire
6.43,9.55,12.13,-0.03,24696.0,2016,Centre-Val de Loire
6.81,8.85,12.13,-0.06,25089.0,2017,Centre-Val de Loire
7.8,8.475,12.13,-0.13,25553.0,2018,Centre-Val de Loire
8.96,8.05,12.13,0.01,26144.0,2019,Centre-Val de Loire
9.53,7.4,12.13,0.07,26954.0,2020,Centre-Val de Loire
11.57,7.125,12.13,-0.06,26936.0,2021,Centre-Val de Loire
11.54,6.775,12.13,0.32,28053.0,2022,Centre-Val de Loire
11.45,6.8,12.13,0.0,29227.0,2023,Centre-Val de Loire
6.29,9.325,11.56,0.01,23666.0,2015,Bourgogne-Franche-Comté
6.53,9.0,11.56,-0.09,23821.0,2016,Bourgogne-Franche-Comté
7.05,8.2,11.56,-0.25,24240.0,2017,Bourgogne-Franche-Comté
7.8,7.725,11.56,-0.13,24697.0,2018,Bourgogne-Franche-Comté
9.0,7.4,11.56,-0.08,25370.0,2019,Bourgogne-Franche-Comté
9.74,6.925,11.56,-0.14,26123.0,2020,Bourgogne-Franche-Comté
11.24,6.625,11.56,-0.05,26110.0,2021,Bourgogne-Franche-Comté
10.97,6.25,11.56,0.14,27172.0,2022,Bourgogne-Franche-Comté
11.15,6.4,11.56,-0.13,28283.0,2023,Bourgogne-Franche-Comté
5.75,10.25,11.37,0.1,24419.0,2015,Normandie
6.07,10.05,11.37,-0.1,24530.0,2016,Normandie
6.55,9.35,11.37,-0.16,24942.0,2017,Normandie
7.57,8.9,11.37,-0.09,25390.0,2018,Normandie
8.74,8.225,11.37,-0.07,26060.0,2019,Normandie
9.44,7.925,11.37,0.01,26802.0,2020,Normandie
10.98,7.55,11.37,0.07,26822.0,2021,Normandie
10.63,6.825,11.37,0.33,27903.0,2022,Normandie
10.67,6.825,11.37,0.01,29047.0,2023,Normandie
5.76,12.575,11.84,0.06,24562.0,2015,Hauts-de-France
6.06,12.2,11.84,-0.05,24644.0,2016,Hauts-de-France
6.54,11.625,11.84,-0.05,25099.0,2017,Hauts-de-France
7.47,11.2,11.84,0.0,25586.0,2018,Hauts-de-France
8.91,10.4,11.84,0.01,26237.0,2019,Hauts-de-France
