creations_per_1000,Taux de chômage par région,chomage_carre,Pourcentage_diplomes_superieur,variation_population_pourcentage,TIME_PERIOD,region_nom
12.05,8.875,78.765625,32.13,0.45,2015,Île-de-France
13.67,8.65,74.8225,32.13,0.29,2016,Île-de-France
15.13,8.15,66.4225,32.13,0.48,2017,Île-de-France
17.69,7.9,62.410000000000004,32.13,0.32,2018,Île-de-France
20.09,7.4,54.760000000000005,32.13,0.4,2019,Île-de-France
20.8,7.325,53.655625,32.13,0.08,2020,Île-de-France
22.86,7.5,56.25,32.13,0.37,2021,Île-de-France
23.33,6.925,47.955625,32.13,0.52,2022,Île-de-France
23.83,6.925,47.955625,32.13,0.21,2023,Île-de-France
25.14,7.0,49.0,32.13,0.19,2024,Île-de-France
6.23,9.675,93.60562500000002,12.13,0.04,2015,Centre-Val de Loire
6.43,9.55,91.20250000000001,12.13,-0.03,2016,Centre-Val de Loire
6.81,8.85,78.32249999999999,12.13,-0.06,2017,Centre-Val de Loire
7.8,8.475,71.82562499999999,12.13,-0.13,2018,Centre-Val de Loire
8.96,8.05,64.80250000000001,12.13,0.01,2019,Centre-Val de Loire
9.53,7.4,54.760000000000005,12.13,0.07,2020,Centre-Val de Loire
11.57,7.125,50.765625,12.13,-0.06,2021,Centre-Val de Loire
11.54,6.775,45.900625000000005,12.13,0.32,2022,Centre-Val de Loire
11.45,6.8,46.239999999999995,12.13,0.0,2023,Centre-Val de Loire
12.09,6.875,47.265625,12.13,0.01,2024,Centre-Val de Loire
6.29,9.325,86.95562499999998,11.56,0.01,2015,Bourgogne-Franche-Comté
6.53,9.0,81.0,11.56,-0.09,2016,Bourgogne-Franche-Comté
7.05,8.2,67.24,11.56,-0.25,2017,Bourgogne-Franche-Comté
7.8,7.725,59.675625,11.56,-0.13,2018,Bourgogne-Franche-Comté
9.0,7.4,54.760000000000005,11.56,-0.08,2019,Bourgogne-Franche-Comté
9.74,6.925,47.955625,11.56,-0.14,2020,Bourgogne-Franche-Comté
11.24,6.625,43.890625,11.56,-0.05,2021,Bourgogne-Franche-Comté
10.97,6.25,39.0625,11.56,0.14,2022,Bourgogne-Franche-Comté
11.15,6.4,40.96000000000001,11.56,-0.13,2023,Bourgogne-Franche-Comté
11.9,6.55,42.902499999999996,11.56,-0.11,2024,Bourgogne-Franche-Comté
5.75,10.25,105.0625,11.37,0.1,2015,Normandie
6.07,10.05,101.00250000000001,11.37,-0.1,2016,Normandie
6.55,9.35,87.4225,11.37,-0.16,2017,Normandie
7.57,8.9,79.21000000000001,11.37,-0.09,2018,Normandie
8.74,8.225,67.65062499999999,11.37,-0.07,2019,Normandie
9.44,7.925,62.805625,11.37,0.01,2020,Normandie
10.98,7.55,57.0025,11.37,0.07,2021,Normandie
10.63,6.825,46.580625000000005,11.37,0.33,2022,Normandie
10.67,6.825,46.580625000000005,11.37,0.01,2023,Normandie
11.18,7.05,49.7025,11.37,0.05,2024,Normandie
5.76,12.575,158.13062499999998,11.84,0.06,2015,Hauts-de-France
6.06,12.2,148.83999999999997,11.84,-0.05,2016,Hauts-de-France
6.54,11.625,135.140625,11.84,-0.05,2017,Hauts-de-France
7.47,11.2,125.43999999999998,11.84,0.0,2018,Hauts-de-France
8.91,10.4,108.16000000000001,11.84,0.01,2019,Hauts-de-France
9.44,9.625,92.640625,11.84,-0.12,2020,Hauts-de-France
11.23,9.35,87.4225,11.84,-0.04,2021,Hauts-de-France
10.99,8.8,77.44000000000001,11.84,0.06,2022,Hauts-de-France
10.83,9.025,81.450625,11.84,-0.14,2023,Hauts-de-France
11.69,9.0,81.0,11.84,-0.13,2024,Hauts-de-France
6.07,10.25,105.0625,12.96,0.08,2015,Grand Est
6.47,9.925,98.50562500000001,12.96,-0.07,2016,Grand Est
6.96,9.225,85.100625,12.96,-0.1,2017,Grand Est
7.73,8.6,73.96,12.96,0.01,2018,Grand Est
8.87,8.125,66.015625,12.96,0.11,2019,Grand Est
9.56,7.775,60.450625,12.96,0.12,2020,Grand Est
11.64,7.65,58.52250000000001,12.96,-0.02,2021,Grand Est
11.46,7.05,49.7025,12.96,-0.02,2022,Grand Est
11.33,7.15,51.1225,12.96,-0.1,2023,Grand Est
12.08,7.225,52.200624999999995,12.96,-0.09,2024,Grand Est
6.7,8.95,80.10249999999999,13.86,0.75,2015,Pays de la Loire
6.91,8.5,72.25,13.86,0.51,2016,Pays de la Loire
7.57,7.775,60.450625,13.86,0.53,2017,Pays de la Loire
8.11,7.375,54.390625,13.86,0.63,2018,Pays de la Loire
9.55,7.05,49.7025,13.86,0.66,2019,Pays de la Loire
9.93,7.025,49.35062500000001,13.86,0.67,2020,Pays de la Loire
12.02,6.55,42.902499999999996,13.86,0.57,2021,Pays de la Loire
12.01,5.9,34.81,13.86,0.65,2022,Pays de la Loire
11.52,5.75,33.0625,13.86,0.5,2023,Pays de la Loire
12.05,5.875,34.515625,13.86,0.51,2024,Pays de la Loire
6.55,8.9,79.21000000000001,14.97,0.53,2015,Bretagne
6.71,8.65,74.8225,14.97,0.38,2016,Bretagne
7.15,7.925,62.805625,14.97,0.37,2017,Bretagne
8.0,7.525,56.62562500000001,14.97,0.5,2018,Bretagne
9.06,7.025,49.35062500000001,14.97,0.58,2019,Bretagne
9.13,6.825,46.580625000000005,14.97,0.57,2020,Bretagne
11.25,6.4,40.96000000000001,14.97,0.61,2021,Bretagne
11.42,5.825,33.930625,14.97,0.83,2022,Bretagne
11.22,5.925,35.105624999999996,14.97,0.51,2023,Bretagne
12.04,5.95,35.4025,14.97,0.53,2024,Bretagne
8.43,9.725,94.57562499999999,14.41,0.55,2015,Nouvelle-Aquitaine
8.67,9.45,89.30249999999998,14.41,0.41,2016,Nouvelle-Aquitaine
9.55,8.775,77.000625,14.41,0.36,2017,Nouvelle-Aquitaine
10.74,8.325,69.30562499999999,14.41,0.38,2018,Nouvelle-Aquitaine
12.16,7.75,60.0625,14.41,0.51,2019,Nouvelle-Aquitaine
12.41,7.375,54.390625,14.41,0.39,2020,Nouvelle-Aquitaine
14.67,7.075,50.055625,14.41,0.59,2021,Nouvelle-Aquitaine
14.56,6.5,42.25,14.41,0.73,2022,Nouvelle-Aquitaine
14.19,6.4,40.96000000000001,14.41,0.42,2023,Nouvelle-Aquitaine
14.94,6.6,43.559999999999995,14.41,0.45,2024,Nouvelle-Aquitaine
9.48,12.075,145.805625,17.03,0.76,2015,Occitanie
9.89,11.7,136.89,17.03,0.59,2016,Occitanie
10.42,10.925,119.35562500000002,17.03,0.63,2017,Occitanie
11.55,10.475,109.725625,17.03,0.69,2018,Occitanie
13.46,9.9,98.01,17.03,0.81,2019,Occitanie
13.82,9.375,87.890625,17.03,0.69,2020,Occitanie
16.23,9.275,86.025625,17.03,0.81,2021,Occitanie
15.85,8.675,75.25562500000001,17.03,0.97,2022,Occitanie
15.75,8.725,76.125625,17.03,0.67,2023,Occitanie
16.63,8.8,77.44000000000001,17.03,0.67,2024,Occitanie
8.55,8.975,80.550625,18.03,0.73,2015,Auvergne-Rhône-Alpes
9.0,8.775,77.000625,18.03,0.5,2016,Auvergne-Rhône-Alpes
9.91,8.125,66.015625,18.03,0.4,2017,Auvergne-Rhône-Alpes
11.14,7.725,59.675625,18.03,0.58,2018,Auvergne-Rhône-Alpes
13.21,7.3,53.29,18.03,0.61,2019,Auvergne-Rhône-Alpes
13.6,7.1,50.41,18.03,0.44,2020,Auvergne-Rhône-Alpes
15.31,6.925,47.955625,18.03,0.44,2021,Auvergne-Rhône-Alpes
15.39,6.225,38.75062499999999,18.03,0.61,2022,Auvergne-Rhône-Alpes
14.74,6.275,39.37562500000001,18.03,0.4,2023,Auvergne-Rhône-Alpes
15.81,6.35,40.3225,18.03,0.39,2024,Auvergne-Rhône-Alpes
11.51,11.5,132.25,18.13,0.49,2015,Provence-Alpes-Côte d'Azur
11.94,11.25,126.5625,18.13,0.28,2016,Provence-Alpes-Côte d'Azur
