;ANNEE1;REGION;SALAIRE;REGION_NOM
1026;2015;E;26743;Ensemble
1027;2015;R84;25846;Auvergne-Rhône-Alpes
1028;2015;R27;23666;Bourgogne-Franche-Comté
1029;2015;R53;23663;Bretagne
1030;2015;R24;24572;Centre-Val de Loire
1031;2015;R94;23137;Corse
1032;2015;R44;24252;Grand Est
1033;2015;R32;24562;Hauts-de-France
1034;2015;R11;33735;Île-de-France
1035;2015;R28;24419;Normandie
1036;2015;R75;23921;Nouvelle-Aquitaine
1037;2015;R76;24762;Occitanie
1038;2015;R52;23869;Pays de la Loire
1039;2015;R93;25631;Provence-Alpes-Côte d_Azur
1040;2015;R1;25243;Guadeloupe
1041;2015;R2;24967;Martinique
1042;2015;R3;26478;Guyane
1043;2015;R4;23223;La Réunion
1044;2015;E;23707;Ensemble
1045;2015;R84;22609;Auvergne-Rhône-Alpes
1046;2015;R27;20937;Bourgogne-Franche-Comté
1047;2015;R53;20981;Bretagne
1048;2015;R24;21894;Centre-Val de Loire
1049;2015;R94;21032;Corse
1050;2015;R44;21237;Grand Est
1051;2015;R32;21729;Hauts-de-France
1052;2015;R11;29945;Île-de-France
1053;2015;R28;21481;Normandie
1054;2015;R75;21427;Nouvelle-Aquitaine
1055;2015;R76;21803;Occitanie
1056;2015;R52;21065;Pays de la Loire
1057;2015;R93;22525;Provence-Alpes-Côte d_Azur
1058;2015;R1;23720;Guadeloupe
1059;2015;R2;23426;Martinique
1060;2015;R3;24667;Guyane
1061;2015;R4;22066;La Réunion
1062;2015;E;28891;Ensemble
1063;2015;R84;28078;Auvergne-Rhône-Alpes
1064;2015;R27;25538;Bourgogne-Franche-Comté
1065;2015;R53;25575;Bretagne
1066;2015;R24;26471;Centre-Val de Loire
1067;2015;R94;24669;Corse
1068;2015;R44;26356;Grand Est
1069;2015;R32;26301;Hauts-de-France
1070;2015;R11;36582;Île-de-France
1071;2015;R28;26371;Normandie
1072;2015;R75;25746;Nouvelle-Aquitaine
1073;2015;R76;26908;Occitanie
1074;2015;R52;25805;Pays de la Loire
1075;2015;R93;27952;Provence-Alpes-Côte d_Azur
1076;2015;R1;26603;Guadeloupe
1077;2015;R2;26315;Martinique
1078;2015;R3;27583;Guyane
1079;2015;R4;23959;La Réunion
1080;2016;E;26901;Ensemble
1081;2016;R84;26095;Auvergne-Rhône-Alpes
1082;2016;R27;23821;Bourgogne-Franche-Comté
1083;2016;R53;23858;Bretagne
1084;2016;R24;24696;Centre-Val de Loire
1085;2016;R94;23474;Corse
1086;2016;R44;24333;Grand Est
1087;2016;R32;24644;Hauts-de-France
1088;2016;R11;33901;Île-de-France
1089;2016;R28;24530;Normandie
1090;2016;R75;24074;Nouvelle-Aquitaine
1091;2016;R76;24883;Occitanie
1092;2016;R52;24085;Pays de la Loire
1093;2016;R93;25769;Provence-Alpes-Côte d_Azur
1094;2016;R1;25385;Guadeloupe
1095;2016;R2;25131;Martinique
1096;2016;R3;26488;Guyane
1097;2016;R4;23330;La Réunion
1098;2016;E;23929;Ensemble
1099;2016;R84;22867;Auvergne-Rhône-Alpes
1100;2016;R27;21087;Bourgogne-Franche-Comté
1101;2016;R53;21211;Bretagne
1102;2016;R24;22086;Centre-Val de Loire
1103;2016;R94;21322;Corse
1104;2016;R44;21416;Grand Est
1105;2016;R32;21879;Hauts-de-France
1106;2016;R11;30251;Île-de-France
1107;2016;R28;21651;Normandie
1108;2016;R75;21582;Nouvelle-Aquitaine
1109;2016;R76;21999;Occitanie
1110;2016;R52;21305;Pays de la Loire
1111;2016;R93;22718;Provence-Alpes-Côte d_Azur
1112;2016;R1;23780;Guadeloupe
1113;2016;R2;23642;Martinique
1114;2016;R3;24853;Guyane
1115;2016;R4;22247;La Réunion
1116;2016;E;29013;Ensemble
1117;2016;R84;28332;Auvergne-Rhône-Alpes
1118;2016;R27;25700;Bourgogne-Franche-Comté
1119;2016;R53;25753;Bretagne
1120;2016;R24;26551;Centre-Val de Loire
1121;2016;R94;25058;Corse
1122;2016;R44;26382;Grand Est
1123;2016;R32;26359;Hauts-de-France
1124;2016;R11;36649;Île-de-France
1125;2016;R28;26455;Normandie
1126;2016;R75;25906;Nouvelle-Aquitaine
1127;2016;R76;26980;Occitanie
1128;2016;R52;26008;Pays de la Loire
1129;2016;R93;28056;Provence-Alpes-Côte d_Azur
1130;2016;R1;26854;Guadeloupe
1131;2016;R2;26456;Martinique
1132;2016;R3;27507;Guyane
1133;2016;R4;24023;La Réunion
1134;2017;E;27426;Ensemble
1135;2017;R84;26601;Auvergne-Rhône-Alpes
1136;2017;R27;24240;Bourgogne-Franche-Comté
1137;2017;R53;24320;Bretagne
1138;2017;R24;25089;Centre-Val de Loire
1139;2017;R94;23902;Corse
1140;2017;R44;24769;Grand Est
1141;2017;R32;25099;Hauts-de-France
1142;2017;R11;34598;Île-de-France
1143;2017;R28;24942;Normandie
1144;2017;R75;24513;Nouvelle-Aquitaine
1145;2017;R76;25358;Occitanie
1146;2017;R52;24543;Pays de la Loire
1147;2017;R93;26326;Provence-Alpes-Côte d_Azur
1148;2017;R1;25820;Guadeloupe
1149;2017;R2;25552;Martinique
1150;2017;R3;27100;Guyane
1151;2017;R4;24035;La Réunion
1152;2017;E;24553;Ensemble
1153;2017;R84;23487;Auvergne-Rhône-Alpes
1154;2017;R27;21640;Bourgogne-Franche-Comté
1155;2017;R53;21789;Bretagne
1156;2017;R24;22548;Centre-Val de Loire
1157;2017;R94;21803;Corse
1158;2017;R44;21934;Grand Est
1159;2017;R32;22432;Hauts-de-France
1160;2017;R11;31053;Île-de-France
1161;2017;R28;22163;Normandie
1162;2017;R75;22096;Nouvelle-Aquitaine
1163;2017;R76;22613;Occitanie
1164;2017;R52;21866;Pays de la Loire
1165;2017;R93;23347;Provence-Alpes-Côte d_Azur
1166;2017;R1;24381;Guadeloupe
1167;2017;R2;24195;Martinique
1168;2017;R3;25522;Guyane
1169;2017;R4;22912;La Réunion
1170;2017;E;29458;Ensemble
1171;2017;R84;28744;Auvergne-Rhône-Alpes
1172;2017;R27;26017;Bourgogne-Franche-Comté
1173;2017;R53;26125;Bretagne
1174;2017;R24;26884;Centre-Val de Loire
1175;2017;R94;25476;Corse
1176;2017;R44;26752;Grand Est
1177;2017;R32;26749;Hauts-de-France
1178;2017;R11;37250;Île-de-France
1179;2017;R28;26795;Normandie
1180;2017;R75;26277;Nouvelle-Aquitaine
1181;2017;R76;27344;Occitanie
1182;2017;R52;26395;Pays de la Loire
1183;2017;R93;28544;Provence-Alpes-Côte d_Azur
1184;2017;R1;27141;Guadeloupe
1185;2017;R2;26760;Martinique
1186;2017;R3;28089;Guyane
1187;2017;R4;24758;La Réunion
1188;2018;E;28024;Ensemble
