;ANNEE1;REGION;SALAIRE;REGION_NOM
1026;2015;E;26743;Ensemble
1027;2015;R84;25846;Auvergne-Rhône-Alpes
1028;2015;R27;23666;Bourgogne-Franche-Comté
1029;2015;R53;23663;Bretagne
1030;2015;R24;24572;Centre-Val de Loire
1031;2015;R94;23137;Corse
1032;2015;R44;24252;Grand Est
1033;2015;R32;24562;Hauts-de-France
1034;2015;R11;33735;Île-de-France
1035;2015;R28;24419;Normandie
1036;2015;R75;23921;Nouvelle-Aquitaine
1037;2015;R76;24762;Occitanie
1038;2015;R52;23869;Pays de la Loire
1039;2015;R93;25631;Provence-Alpes-Côte d_Azur
1040;2015;R1;25243;Guadeloupe
1041;2015;R2;24967;Martinique
1042;2015;R3;26478;Guyane
1043;2015;R4;23223;La Réunion
1080;2016;E;26901;Ensemble
1081;2016;R84;26095;Auvergne-Rhône-Alpes
1082;2016;R27;23821;Bourgogne-Franche-Comté
1083;2016;R53;23858;Bretagne
1084;2016;R24;24696;Centre-Val de Loire
1085;2016;R94;23474;Corse
1086;2016;R44;24333;Grand Est
1087;2016;R32;24644;Hauts-de-France
1088;2016;R11;33901;Île-de-France
1089;2016;R28;24530;Normandie
1090;2016;R75;24074;Nouvelle-Aquitaine
1091;2016;R76;24883;Occitanie
1092;2016;R52;24085;Pays de la Loire
1093;2016;R93;25769;Provence-Alpes-Côte d_Azur
1094;2016;R1;25385;Guadeloupe
1095;2016;R2;25131;Martinique
1096;2016;R3;26488;Guyane
1097;2016;R4;23330;La Réunion
1134;2017;E;27426;Ensemble
1135;2017;R84;26601;Auvergne-Rhône-Alpes
1136;2017;R27;24240;Bourgogne-Franche-Comté
1137;2017;R53;24320;Bretagne
1138;2017;R24;25089;Centre-Val de Loire
1139;2017;R94;23902;Corse
1140;2017;R44;24769;Grand Est
1141;2017;R32;25099;Hauts-de-France
1142;2017;R11;34598;Île-de-France
1143;2017;R28;24942;Normandie
1144;2017;R75;24513;Nouvelle-Aquitaine
1145;2017;R76;25358;Occitanie
1146;2017;R52;24543;Pays de la Loire
1147;2017;R93;26326;Provence-Alpes-Côte d_Azur
1148;2017;R1;25820;Guadeloupe
1149;2017;R2;25552;Martinique
1150;2017;R3;27100;Guyane
1151;2017;R4;24035;La Réunion
1188;2018;E;28024;Ensemble
1189;2018;R84;27209;Auvergne-Rhône-Alpes
1190;2018;R27;24697;Bourgogne-Franche-Comté
1191;2018;R53;24859;Bretagne
1192;2018;R24;25553;Centre-Val de Loire
1193;2018;R94;24186;Corse
1194;2018;R44;25290;Grand Est
1195;2018;R32;25586;Hauts-de-France
1196;2018;R11;35377;Île-de-France
1197;2018;R28;25390;Normandie
1198;2018;R75;25105;Nouvelle-Aquitaine
1199;2018;R76;25858;Occitanie
1200;2018;R52;25125;Pays de la Loire
1201;2018;R93;26904;Provence-Alpes-Côte d_Azur
1202;2018;R1;26493;Guadeloupe
1203;2018;R2;26252;Martinique
1204;2018;R3;27124;Guyane
1205;2018;R4;24375;La Réunion
1242;2019;E;28631;Ensemble
1243;2019;R84;27841;Auvergne-Rhône-Alpes
1244;2019;R27;25370;Bourgogne-Franche-Comté
1245;2019;R53;25512;Bretagne
1246;2019;R24;26144;Centre-Val de Loire
1247;2019;R94;24793;Corse
1248;2019;R44;25916;Grand Est
1249;2019;R32;26237;Hauts-de-France
1250;2019;R11;35902;Île-de-France
1251;2019;R28;26060;Normandie
1252;2019;R75;25758;Nouvelle-Aquitaine
1253;2019;R76;26455;Occitanie
1254;2019;R52;25807;Pays de la Loire
1255;2019;R93;27507;Provence-Alpes-Côte d_Azur
1256;2019;R1;26592;Guadeloupe
1257;2019;R2;26337;Martinique
1258;2019;R3;27376;Guyane
1259;2019;R4;24706;La Réunion
1296;2020;E;29649;Ensemble
1297;2020;R84;28789;Auvergne-Rhône-Alpes
1298;2020;R27;26123;Bourgogne-Franche-Comté
1299;2020;R53;26389;Bretagne
1300;2020;R24;26954;Centre-Val de Loire
1301;2020;R94;25777;Corse
1302;2020;R44;26780;Grand Est
1303;2020;R32;27050;Hauts-de-France
1304;2020;R11;37659;Île-de-France
1305;2020;R28;26802;Normandie
1306;2020;R75;26609;Nouvelle-Aquitaine
1307;2020;R76;27294;Occitanie
1308;2020;R52;26582;Pays de la Loire
1309;2020;R93;28552;Provence-Alpes-Côte d_Azur
1310;2020;R1;27223;Guadeloupe
1311;2020;R2;27042;Martinique
1312;2020;R3;27932;Guyane
1313;2020;R4;25068;La Réunion
1350;2021;E;29569;Ensemble
1351;2021;R84;28783;Auvergne-Rhône-Alpes
1352;2021;R27;26110;Bourgogne-Franche-Comté
1353;2021;R53;26493;Bretagne
1354;2021;R24;26936;Centre-Val de Loire
1355;2021;R94;25845;Corse
1356;2021;R44;26726;Grand Est
1357;2021;R32;27015;Hauts-de-France
1358;2021;R11;37435;Île-de-France
1359;2021;R28;26822;Normandie
1360;2021;R75;26672;Nouvelle-Aquitaine
1361;2021;R76;27193;Occitanie
1362;2021;R52;26646;Pays de la Loire
1363;2021;R93;28574;Provence-Alpes-Côte d_Azur
1364;2021;R1;27040;Guadeloupe
1365;2021;R2;26862;Martinique
1366;2021;R3;27557;Guyane
1367;2021;R4;24823;La Réunion
1404;2022;E;30718;Ensemble
1405;2022;R84;29947;Auvergne-Rhône-Alpes
1406;2022;R27;27172;Bourgogne-Franche-Comté
1407;2022;R53;27605;Bretagne
1408;2022;R24;28053;Centre-Val de Loire
1409;2022;R94;26882;Corse
1410;2022;R44;27793;Grand Est
1411;2022;R32;28018;Hauts-de-France
1412;2022;R11;38620;Île-de-France
1413;2022;R28;27903;Normandie
1414;2022;R75;27785;Nouvelle-Aquitaine
1415;2022;R76;28289;Occitanie
1416;2022;R52;27832;Pays de la Loire
1417;2022;R93;29680;Provence-Alpes-Côte d_Azur
1418;2022;R1;27563;Guadeloupe
1419;2022;R2;27511;Martinique
1420;2022;R3;28154;Guyane
1421;2022;R4;25516;La Réunion
1458;2023;E;31902;Ensemble
1459;2023;R84;31095;Auvergne-Rhône-Alpes
1460;2023;R27;28283;Bourgogne-Franche-Comté
1461;2023;R53;28786;Bretagne
1462;2023;R24;29227;Centre-Val de Loire
1463;2023;R94;27757;Corse
1464;2023;R44;28974;Grand Est
1465;2023;R32;29221;Hauts-de-France
1466;2023;R11;39873;Île-de-France
1467;2023;R28;29047;Normandie
1468;2023;R75;28971;Nouvelle-Aquitaine
1469;2023;R76;29426;Occitanie
1470;2023;R52;28983;Pays de la Loire
1471;2023;R93;30822;Provence-Alpes-Côte d_Azur
1472;2023;R1;28436;Guadeloupe
1473;2023;R2;28475;Martinique
1474;2023;R3;28949;Guyane
1475;2023;R4;26307;La Réunion
