GEO;GEO_OBJECT;SEX;AGE;EP_MEASURE;OBS_STATUS_FR;TIME_PERIOD;OBS_VALUE
78;DEP;M;Y50T54;POP;D;2007;44919
85;DEP;M;Y60T64;POP;D;2007;15680
82;DEP;F;Y15T19;POP;D;2007;6516
79;DEP;_T;Y25T29;POP;D;2007;19285
62;DEP;F;Y_LT5;POP;D;2007;47222
80;DEP;F;Y25T29;POP;D;2007;17497
81;DEP;F;Y70T74;POP;D;2007;10206
90;DEP;M;Y10T14;POP;D;2007;4411
80;DEP;F;Y75T79;POP;D;2007;12127
58;DEP;F;Y80T84;POP;D;2007;5675
64;DEP;M;Y70T74;POP;D;2007;13894
82;DEP;F;Y35T39;POP;D;2007;8115
52;DEP;M;Y80T84;POP;D;2007;2234
42;DEP;F;Y35T39;POP;D;2007;24562
25;DEP;F;Y85T89;POP;D;2007;4188
45;DEP;_T;Y60T64;POP;D;2007;31513
28;DEP;M;Y15T19;POP;D;2007;13650
56;DEP;F;Y55T59;POP;D;2007;26034
28;DEP;M;Y35T39;POP;D;2007;14821
40;DEP;_T;Y_LT5;POP;D;2007;19517
43;DEP;F;Y_GE95;POP;D;2007;422
48;DEP;F;Y55T59;POP;D;2007;2774
33;DEP;_T;Y90T94;POP;D;2007;7903
25;DEP;M;Y75T79;POP;D;2007;7210
71;DEP;F;Y30T34;POP;D;2006;16454
61;DEP;_T;Y70T74;POP;D;2006;15015
67;DEP;F;Y35T39;POP;D;2006;40249
70;DEP;M;Y75T79;POP;D;2006;3756
76;DEP;M;Y_LT5;POP;D;2006;39328
83;DEP;F;Y90T94;POP;D;2006;5604
76;DEP;F;Y70T74;POP;D;2006;28675
89;DEP;M;Y85T89;POP;D;2006;1660
88;DEP;_T;Y40T44;POP;D;2006;27309
69;DEP;F;Y85T89;POP;D;2006;11620
91;DEP;F;Y55T59;POP;D;2006;39586
73;DEP;_T;Y40T44;POP;D;2006;30396
4;DEP;M;Y85T89;POP;D;2008;1023
5;DEP;M;Y35T39;POP;D;2008;4648
91;DEP;M;Y5T9;POP;D;2007;42719
11;DEP;M;Y70T74;POP;D;2008;7805
9;DEP;M;Y_GE95;POP;D;2008;101
2B;DEP;M;Y50T54;POP;D;2008;5564
91;DEP;_T;Y80T84;POP;D;2007;20773
972;DEP;F;Y25T29;POP;D;2007;10335
16;DEP;_T;Y80T84;POP;D;2008;12659
21;DEP;M;Y45T49;POP;D;2008;17521
DOM;OTHER;M;Y85T89;POP;D;2007;4102
FM;FRANCE;M;Y55T59;POP;D;2007;2049290
26;DEP;F;Y10T14;POP;D;2008;14705
22;DEP;M;Y20T24;POP;D;2008;13960
51;DEP;M;Y50T54;POP;D;2008;18525
51;DEP;M;Y35T39;POP;D;2008;19841
34;DEP;_T;Y60T64;POP;D;2008;60918
52;DEP;M;Y15T19;POP;D;2008;5966
41;DEP;M;Y30T34;POP;D;2008;9170
33;DEP;_T;Y80T84;POP;D;2008;40071
22;DEP;M;Y65T69;POP;D;2008;13433
47;DEP;_T;Y55T59;POP;D;2008;24019
41;DEP;_T;Y75T79;POP;D;2008;14929
45;DEP;F;Y5T9;POP;D;2008;20381
81;DEP;_T;Y90T94;POP;D;2008;2451
73;DEP;F;Y10T14;POP;D;2008;12101
57;DEP;_T;Y50T54;POP;D;2008;77112
72;DEP;_T;Y60T64;POP;D;2008;29335
68;DEP;M;Y10T14;POP;D;2008;23271
67;DEP;_T;Y5T9;POP;D;2008;66060
72;DEP;F;Y5T9;POP;D;2008;17497
82;DEP;M;Y40T44;POP;D;2008;8449
77;DEP;M;Y60T64;POP;D;2008;29802
56;DEP;_T;Y70T74;POP;D;2008;34569
58;DEP;_T;Y75T79;POP;D;2008;11690
57;DEP;F;Y25T29;POP;D;2008;33711
88;DEP;_T;Y75T79;POP;D;2008;15763
5;DEP;F;Y55T59;POP;D;2009;4733
974;DEP;M;Y75T79;POP;D;2008;4579
17;DEP;_T;Y65T69;POP;D;2009;32196
