ANNEE1;SEXE;REGION;SALAIRE
1996;E;E;18459
1996;E;R84;17716
1996;E;R27;16428
1996;E;R53;16119
1996;E;R24;17112
1996;E;R94;16233
1996;E;R44;16996
1996;E;R32;17035
1996;E;R11;23059
1996;E;R28;16996
1996;E;R75;16493
1996;E;R76;16815
1996;E;R52;16226
1996;E;R93;17860
1996;E;R1;nd
1996;E;R2;nd
1996;E;R3;nd
1996;E;R4;nd
1996;F;E;15650
1996;F;R84;14793
1996;F;R27;13878
1996;F;R53;13774
1996;F;R24;14625
1996;F;R94;14464
1996;F;R44;14075
1996;F;R32;14324
1996;F;R11;19301
1996;F;R28;14275
1996;F;R75;14253
1996;F;R76;14341
1996;F;R52;13803
1996;F;R93;15066
1996;F;R1;nd
1996;F;R2;nd
1996;F;R3;nd
1996;F;R4;nd
1996;H;E;20133
1996;H;R84;19370
1996;H;R27;17807
1996;H;R53;17553
1996;H;R24;18605
1996;H;R94;17262
1996;H;R44;18590
1996;H;R32;18382
1996;H;R11;25673
1996;H;R28;18483
1996;H;R75;17846
1996;H;R76;18333
1996;H;R52;17599
1996;H;R93;19571
1996;H;R1;nd
1996;H;R2;nd
1996;H;R3;nd
1996;H;R4;nd
1997;E;E;18795
1997;E;R84;18051
1997;E;R27;16733
1997;E;R53;16519
1997;E;R24;17393
1997;E;R94;16214
1997;E;R44;17326
1997;E;R32;17378
1997;E;R11;23430
1997;E;R28;17288
1997;E;R75;16786
1997;E;R76;17132
1997;E;R52;16622
1997;E;R93;18045
1997;E;R1;nd
1997;E;R2;nd
1997;E;R3;nd
1997;E;R4;nd
1997;F;E;16021
1997;F;R84;15170
1997;F;R27;14199
1997;F;R53;14135
1997;F;R24;14901
1997;F;R94;14577
1997;F;R44;14450
1997;F;R32;14724
1997;F;R11;19678
1997;F;R28;14600
1997;F;R75;14575
1997;F;R76;14711
1997;F;R52;14180
1997;F;R93;15318
1997;F;R1;nd
1997;F;R2;nd
1997;F;R3;nd
1997;F;R4;nd
1997;H;E;20459
1997;H;R84;19687
1997;H;R27;18108
1997;H;R53;17983
1997;H;R24;18893
1997;H;R94;17145
1997;H;R44;18893
1997;H;R32;18693
1997;H;R11;26087
1997;H;R28;18757
1997;H;R75;18123
1997;H;R76;18614
1997;H;R52;18003
1997;H;R93;19737
1997;H;R1;nd
1997;H;R2;nd
1997;H;R3;nd
1997;H;R4;nd
1998;E;E;19088
1998;E;R84;18306
1998;E;R27;16995
1998;E;R53;16791
1998;E;R24;17699
1998;E;R94;16557
1998;E;R44;17611
1998;E;R32;17692
1998;E;R11;23812
1998;E;R28;17599
1998;E;R75;17069
1998;E;R76;17443
1998;E;R52;16911
1998;E;R93;18230
1998;E;R1;nd
1998;E;R2;nd
1998;E;R3;nd
1998;E;R4;nd
1998;F;E;16349
1998;F;R84;15475
1998;F;R27;14535
1998;F;R53;14461
1998;F;R24;15239
1998;F;R94;14872
1998;F;R44;14783
1998;F;R32;15051
1998;F;R11;20035
1998;F;R28;14974
1998;F;R75;14936
1998;F;R76;15070
1998;F;R52;14490
1998;F;R93;15616
1998;F;R1;nd
1998;F;R2;nd
1998;F;R3;nd
1998;F;R4;nd
1998;H;E;20727
1998;H;R84;19910
1998;H;R27;18327
1998;H;R53;18216
1998;H;R24;19180
1998;H;R94;17535
1998;H;R44;19164
1998;H;R32;19002
1998;H;R11;26479
1998;H;R28;19027
1998;H;R75;18357
1998;H;R76;18896
1998;H;R52;18272
1998;H;R93;19844
1998;H;R1;nd
1998;H;R2;nd
1998;H;R3;nd
1998;H;R4;nd
1999;E;E;19484
1999;E;R84;18640
1999;E;R27;17366
1999;E;R53;17135
1999;E;R24;18046
1999;E;R94;16891
1999;E;R44;17926
1999;E;R32;17984
1999;E;R11;24448
1999;E;R28;17897
1999;E;R75;17362
1999;E;R76;17706
1999;E;R52;17224
1999;E;R93;18593
1999;E;R1;nd
1999;E;R2;nd
1999;E;R3;nd
1999;E;R4;nd
1999;F;E;16704
1999;F;R84;15785
1999;F;R27;14857
1999;F;R53;14795
1999;F;R24;15562
1999;F;R94;15151
1999;F;R44;15076
1999;F;R32;15352
1999;F;R11;20575
1999;F;R28;15206
1999;F;R75;15197
1999;F;R76;15342
1999;F;R52;14759
1999;F;R93;15923
1999;F;R1;nd
1999;F;R2;nd
1999;F;R3;nd
1999;F;R4;nd
1999;H;E;21153
1999;H;R84;20270
1999;H;R27;18740
1999;H;R53;18570
1999;H;R24;19545
1999;H;R94;17923
1999;H;R44;19504
1999;H;R32;19288
1999;H;R11;27175
1999;H;R28;19360
1999;H;R75;18668
1999;H;R76;19150
1999;H;R52;18612
1999;H;R93;20258
1999;H;R1;nd
1999;H;R2;nd
1999;H;R3;nd
1999;H;R4;nd
2000;E;E;19893
2000;E;R84;19037
2000;E;R27;17671
2000;E;R53;17519
2000;E;R24;18409
2000;E;R94;17288
2000;E;R44;18296
2000;E;R32;18291
2000;E;R11;25178
2000;E;R28;18180
2000;E;R75;17712
2000;E;R76;18046
2000;E;R52;17635
2000;E;R93;18969
2000;E;R1;18175
2000;E;R2;18366
2000;E;R3;21026
2000;E;R4;17016
2000;F;E;17046
2000;F;R84;16086
2000;F;R27;15107
2000;F;R53;15052
