code;libelle français;libelle anglais
_T;"Total";"Total"
_Z;"Non applicable";"Not applicable"
Y_GE75;"75 ans ou plus";"75 years old or older"
Y_GE95;"95 ans ou plus";"95 years old or older"
Y_LT20;"Moins de 20 ans";"Under 20 years old"
Y_LT5;"Moins de 5 ans";"Under 5 years old"
Y10T14;"De 10 à 14 ans";"From 10 to 14 years"
Y15T19;"De 15 à 19 ans";"From 15 to 19 years"
Y20T24;"De 20 à 24 ans";"From 20 to 24 years"
Y20T39;"De 20 à 39 ans";"From 20 to 39 years"
Y25T29;"De 25 à 29 ans";"From 25 to 29 years"
Y30T34;"De 30 à 34 ans";"From 30 to 34 years"
Y35T39;"De 35 à 39 ans";"From 35 to 39 years"
Y40T44;"De 40 à 44 ans";"From 40 to 44 years"
Y40T59;"De 40 à 59 ans";"From 40 to 59 years"
Y45T49;"De 45 à 49 ans";"From 45 to 49 years"
Y50T54;"De 50 à 54 ans";"From 50 to 54 years"
Y55T59;"De 55 à 59 ans";"From 55 to 59 years"
Y5T9;"De 5 à 9 ans";"From 5 to 9 years"
Y60T64;"De 60 à 64 ans";"From 60 to 64 years"
Y60T74;"De 60 à 74 ans";"From 60 to 74 years"
Y65T69;"De 65 à 69 ans";"From 65 to 69 years"
Y70T74;"De 70 à 74 ans";"From 70 to 74 years"
Y75T79;"De 75 à 79 ans";"From 75 to 79 years"
Y80T84;"De 80 à 84 ans";"From 80 to 84 years"
Y85T89;"De 85 à 89 ans";"From 85 to 89 years"
Y90T94;"De 90 à 94 ans";"From 90 to 94 years"
