GEO;GEO_OBJECT;AGE;SEX;EDUC;STUD_AREA;RP_MEASURE;FREQ;TIME_PERIOD;OBS_VALUE;GEO_str;region_nom
75;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;223297.38364;75;Nouvelle-Aquitaine
27;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;162058.63332;27;Bourgogne-Franche-Comté
76;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;114268.79588;76;Occitanie
53;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;175077.97707;53;Bretagne
11;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;218839.11356;11;Île-de-France
94;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;34849.58707;94;Corse
93;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;759773.27142;93;Provence-Alpes-Côte d'Azur
01;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;6708.03088;01;Guadeloupe
52;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;266170.92053;52;Pays de la Loire
94;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;32211.33565;94;Corse
93;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;330968.12441;93;Provence-Alpes-Côte d'Azur
44;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;514144.48976;44;Grand Est
75;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;297271.13076;75;Nouvelle-Aquitaine
01;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;8229.93878;01;Guadeloupe
01;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;16958.53119;01;Guadeloupe
02;REG;Y_GE15;_T;_T;_Z;POP;A;2022;278987.9786;02;Martinique
52;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;344513.68501;52;Pays de la Loire
02;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;57746.62584;02;Martinique
84;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;356768.81472;84;Auvergne-Rhône-Alpes
11;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;519175.56372;11;Île-de-France
27;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;257990.7531;27;Bourgogne-Franche-Comté
27;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;83740.93963;27;Bourgogne-Franche-Comté
11;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;1528051.1591;11;Île-de-France
02;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;29284.18595;02;Martinique
03;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;12420.36959;03;Guyane
01;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;14264.82404;01;Guadeloupe
93;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;475339.88054;93;Provence-Alpes-Côte d'Azur
11;REG;Y_GE15;F;_T;_Z;POP;A;2022;4524475.70688;11;Île-de-France
44;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;522035.4037;44;Grand Est
28;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;131252.1593;28;Normandie
94;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;29151.89327;94;Corse
44;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;79918.30849;44;Grand Est
52;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;139997.75878;52;Pays de la Loire
24;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;177845.99271;24;Centre-Val de Loire
44;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;217165.87032;44;Grand Est
32;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;404856.04966;32;Hauts-de-France
02;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;51583.4306;02;Martinique
44;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;354775.96124;44;Grand Est
75;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;174256.43012;75;Nouvelle-Aquitaine
93;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;468746.89597;93;Provence-Alpes-Côte d'Azur
27;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;180590.7867;27;Bourgogne-Franche-Comté
03;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;24730.61967;03;Guyane
84;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;299113.06557;84;Auvergne-Rhône-Alpes
11;REG;Y_GE15;_T;_T;_Z;POP;A;2022;8660565.13435;11;Île-de-France
75;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;154909.54944;75;Nouvelle-Aquitaine
02;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;7199.17716;02;Martinique
75;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;217030.73251;75;Nouvelle-Aquitaine
02;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;22299.24466;02;Martinique
84;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;820057.69901;84;Auvergne-Rhône-Alpes
28;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;146666.84139;28;Normandie
