TIME_PERIOD,region_nom,population,pop_prev,variation_population_pourcentage,surface_km2,densité de population
2014,Auvergne-Rhône-Alpes,7820966.317176,,,71134,109.95
2015,Auvergne-Rhône-Alpes,7877698.326169,7820966.317176,0.73,71134,110.74
2016,Auvergne-Rhône-Alpes,7916889.335674,7877698.326169,0.5,71134,111.3
2017,Auvergne-Rhône-Alpes,7948287.344093,7916889.335674,0.4,71134,111.74
2018,Auvergne-Rhône-Alpes,7994459.351061,7948287.344093,0.58,71134,112.39
2019,Auvergne-Rhône-Alpes,8042936.357721,7994459.351061,0.61,71134,113.07
2020,Auvergne-Rhône-Alpes,8078652.364332,8042936.357721,0.44,71134,113.57
2021,Auvergne-Rhône-Alpes,8114361.367191,8078652.364332,0.44,71134,114.07
2022,Auvergne-Rhône-Alpes,8163884.370721,8114361.367191,0.61,71134,114.77
2023,Auvergne-Rhône-Alpes,8196436.374708,8163884.370721,0.4,71134,115.23
2024,Auvergne-Rhône-Alpes,8228802.379343,8196436.374708,0.39,71134,115.68
2025,Auvergne-Rhône-Alpes,8260096.384576,8228802.379343,0.38,71134,116.12
2014,Bourgogne-Franche-Comté,2820623.365883,,,48059,58.69
2015,Bourgogne-Franche-Comté,2820940.380468,2820623.365883,0.01,48059,58.7
2016,Bourgogne-Franche-Comté,2818338.39332,2820940.380468,-0.09,48059,58.64
2017,Bourgogne-Franche-Comté,2811423.406763,2818338.39332,-0.25,48059,58.5
2018,Bourgogne-Franche-Comté,2807807.417817,2811423.406763,-0.13,48059,58.42
2019,Bourgogne-Franche-Comté,2805580.427274,2807807.417817,-0.08,48059,58.38
2020,Bourgogne-Franche-Comté,2801695.436597,2805580.427274,-0.14,48059,58.3
2021,Bourgogne-Franche-Comté,2800194.441834,2801695.436597,-0.05,48059,58.27
2022,Bourgogne-Franche-Comté,2803977.446515,2800194.441834,0.14,48059,58.34
2023,Bourgogne-Franche-Comté,2800234.452945,2803977.446515,-0.13,48059,58.27
2024,Bourgogne-Franche-Comté,2797160.46025,2800234.452945,-0.11,48059,58.2
2025,Bourgogne-Franche-Comté,2793080.467068,2797160.46025,-0.15,48059,58.12
2014,Bretagne,3276543.357957,,,27498,119.16
2015,Bretagne,3293850.370926,3276543.357957,0.53,27498,119.79
2016,Bretagne,3306529.382034,3293850.370926,0.38,27498,120.25
2017,Bretagne,3318904.393262,3306529.382034,0.37,27498,120.7
2018,Bretagne,3335414.403374,3318904.393262,0.5,27498,121.3
2019,Bretagne,3354854.413031,3335414.403374,0.58,27498,122.0
2020,Bretagne,3373835.421213,3354854.413031,0.57,27498,122.69
2021,Bretagne,3394567.426708,3373835.421213,0.61,27498,123.45
2022,Bretagne,3422845.432548,3394567.426708,0.83,27498,124.48
2023,Bretagne,3440248.438984,3422845.432548,0.51,27498,125.11
2024,Bretagne,3458588.446474,3440248.438984,0.53,27498,125.78
2025,Bretagne,3475895.454268,3458588.446474,0.5,27498,126.41
2014,Centre-Val de Loire,2577435.361162,,,39530,65.2
2015,Centre-Val de Loire,2578592.374802,2577435.361162,0.04,39530,65.23
2016,Centre-Val de Loire,2577866.387626,2578592.374802,-0.03,39530,65.21
2017,Centre-Val de Loire,2576252.399488,2577866.387626,-0.06,39530,65.17
2018,Centre-Val de Loire,2572853.409158,2576252.399488,-0.13,39530,65.09
2019,Centre-Val de Loire,2573180.417845,2572853.409158,0.01,39530,65.09
2020,Centre-Val de Loire,2574863.42677,2573180.417845,0.07,39530,65.14
2021,Centre-Val de Loire,2573303.433342,2574863.42677,-0.06,39530,65.1
2022,Centre-Val de Loire,2581597.438061,2573303.433342,0.32,39530,65.31
2023,Centre-Val de Loire,2581716.443425,2581597.438061,0.0,39530,65.31
2024,Centre-Val de Loire,2582015.44966,2581716.443425,0.01,39530,65.32
2025,Centre-Val de Loire,2581479.45576,2582015.44966,-0.02,39530,65.3
2014,Corse,324212.364941,,,8722,37.17
2015,Corse,327283.382285,324212.364941,0.95,8722,37.52
2016,Corse,330455.390486,327283.382285,0.97,8722,37.89
2017,Corse,334938.401646,330455.390486,1.36,8722,38.4
2018,Corse,338554.410279,334938.401646,1.08,8722,38.82
