Libellé;Moyenne_2015;Moyenne_2016;Moyenne_2017;Moyenne_2018;Moyenne_2019;Moyenne_2020;Moyenne_2021;Moyenne_2022;Moyenne_2023;Moyenne_2024;Moyenne_2025
Taux de chômage localisé par région - France métropolitaine;10.025;9.725;9.1;8.725;8.175;7.85;7.65;7.05;7.1;7.15;7.3
Taux de chômage localisé par région - Île-de-France;8.875;8.65;8.15;7.9;7.4;7.325;7.5;6.925;6.925;7.0;7.25
Taux de chômage localisé par région - Centre-Val de Loire;9.675;9.55;8.85;8.475;8.05;7.4;7.125;6.775;6.8;6.875;6.9
Taux de chômage localisé par région - Pays de la Loire;8.95;8.5;7.775;7.375;7.05;7.025;6.55;5.9;5.75;5.875;6.1
Taux de chômage localisé par région - Bretagne;8.9;8.65;7.925;7.525;7.025;6.825;6.4;5.825;5.925;5.95;6.1
Taux de chômage localisé par région - Provence-Alpes-Côte d'Azur;11.5;11.25;10.7;10.3;9.6;9.075;8.875;8.15;8.025;7.9;7.95
Taux de chômage localisé par région - Corse;10.425;10.0;9.425;8.8;8.075;7.85;6.725;6.1;6.375;6.475;6.35
Taux de chômage localisé par région - Bourgogne-Franche-Comté;9.325;9.0;8.2;7.725;7.4;6.925;6.625;6.25;6.4;6.55;6.75
Taux de chômage localisé par région - Normandie;10.25;10.05;9.35;8.9;8.225;7.925;7.55;6.825;6.825;7.05;7.15
Taux de chômage localisé par région - Hauts-de-France;12.575;12.2;11.625;11.2;10.4;9.625;9.35;8.8;9.025;9.0;9.0
Taux de chômage localisé par région - Grand Est;10.25;9.925;9.225;8.6;8.125;7.775;7.65;7.05;7.15;7.225;7.2
Taux de chômage localisé par région - Nouvelle-Aquitaine;9.725;9.45;8.775;8.325;7.75;7.375;7.075;6.5;6.4;6.6;6.75
Taux de chômage localisé par région - Occitanie;12.075;11.7;10.925;10.475;9.9;9.375;9.275;8.675;8.725;8.8;8.9
Taux de chômage localisé par région - Auvergne-Rhône-Alpes;8.975;8.775;8.125;7.725;7.3;7.1;6.925;6.225;6.275;6.35;6.45
Taux de chômage localisé par région - France entière (hors Mayotte);10.35;10.025;9.4;9.025;8.45;8.025;7.85;7.275;7.3;7.375;7.5
Taux de chômage localisé par département - Aveyron;7.45;7.3;6.925;6.575;6.35;6.1;6.0;5.7;5.725;5.575;5.5
Taux de chômage localisé par département - Ain;7.35;7.35;6.75;6.3;6.05;6.075;5.875;5.4;5.475;5.55;5.6
Taux de chômage localisé par département - Aisne;13.825;13.625;12.95;12.375;11.6;10.975;10.95;10.35;10.45;10.45;10.2
Taux de chômage localisé par département - Allier;10.575;10.375;9.675;9.35;8.9;8.45;8.15;7.6;7.725;7.875;7.8
Taux de chômage localisé par département - Alpes-de-Haute-Provence;11.35;11.075;10.7;10.425;9.75;9.125;8.825;8.25;8.125;7.925;7.85
Taux de chômage localisé par département - Hautes-Alpes;9.45;9.25;8.675;8.475;7.975;7.7;7.95;6.775;6.55;6.2;6.3
Taux de chômage localisé par département - Alpes-Maritimes;10.525;10.325;9.8;9.35;8.75;8.775;8.55;7.35;7.1;6.775;6.8
Taux de chômage localisé par département - Ardèche;10.7;10.625;10.075;9.8;9.125;8.7;8.65;8.05;7.95;7.8;7.65
Taux de chômage localisé par département - Ardennes;12.475;12.0;11.075;10.425;10.0;9.575;9.475;9.325;9.65;9.775;9.6
Taux de chômage localisé par département - Ariège;12.275;11.975;11.475;11.175;10.625;9.8;9.7;9.375;9.4;9.15;9.1
Taux de chômage localisé par département - Aube;12.725;12.625;11.95;11.35;10.675;9.925;9.95;9.475;9.55;9.55;9.25
Taux de chômage localisé par département - Aude;14.2;13.575;12.65;12.325;11.55;10.7;10.725;10.05;10.175;10.225;10.25
Taux de chômage localisé par département - Bouches-du-Rhône;12.025;11.725;11.275;10.925;10.1;9.325;9.2;8.75;8.6;8.475;8.6
Taux de chômage localisé par département - Calvados;9.9;9.4;8.7;8.375;7.7;7.4;7.025;6.375;6.4;6.6;6.7
Taux de chômage localisé par département - Cantal;6.5;6.225;5.65;5.3;4.925;4.75;4.275;4.05;4.175;4.225;4.35
Taux de chômage localisé par département - Charente;10.075;9.7;8.925;8.6;8.075;7.775;7.425;6.9;6.875;7.375;7.55
Taux de chômage localisé par département - Charente-Maritime;10.7;10.25;9.475;9.025;8.45;8.175;7.75;6.925;6.775;6.925;6.95
Taux de chômage localisé par département - Cher;10.475;10.4;9.725;9.3;8.75;8.025;7.775;7.45;7.225;7.05;7.1
Taux de chômage localisé par département - Corrèze;8.225;8.175;7.45;7.175;6.725;6.475;6.35;6.025;5.925;5.925;5.9
Taux de chômage localisé par département - Corse-du-Sud;9.7;9.375;9.1;8.3;7.675;7.675;6.525;5.775;5.975;6.1;6.0
Taux de chômage localisé par département - Haute-Corse;11.15;10.525;9.75;9.325;8.45;8.05;6.975;6.425;6.775;6.775;6.65
Taux de chômage localisé par département - Côte-d'Or;8.8;8.5;7.8;7.35;6.875;6.275;5.925;5.575;5.675;5.75;5.85
Taux de chômage localisé par département - Côtes-d'Armor;9.125;9.0;8.325;7.925;7.425;7.05;6.85;6.275;6.275;6.25;6.25
Taux de chômage localisé par département - Creuse;9.525;9.125;8.525;8.5;7.875;7.1;7.0;6.975;7.025;7.05;6.9
Taux de chômage localisé par département - Dordogne;10.675;10.275;9.65;9.1;8.525;8.0;7.6;7.225;7.125;7.125;7.05
Taux de chômage localisé par département - Doubs;9.5;9.125;8.25;7.725;7.575;7.475;7.225;6.475;6.55;6.85;7.4
Taux de chômage localisé par département - Drôme;11.15;10.925;10.125;9.775;9.175;8.6;8.475;7.825;7.95;7.875;7.7
Taux de chômage localisé par département - Eure;10.375;10.25;9.5;9.075;8.375;7.95;7.725;7.025;6.95;7.025;7.1
Taux de chômage localisé par département - Eure-et-Loir;9.65;9.45;8.875;8.475;8.15;7.375;7.05;6.75;6.825;6.9;6.85
Taux de chômage localisé par département - Finistère;9.225;8.95;8.2;7.825;7.325;6.95;6.7;6.125;6.2;6.15;6.25
Taux de chômage localisé par département - Gard;13.8;13.35;12.575;12.225;11.625;10.65;10.525;9.925;10.0;9.85;9.7
Taux de chômage localisé par département - Haute-Garonne;10.6;10.1;9.2;8.55;8.05;8.0;8.075;7.4;7.3;7.575;8.05
Taux de chômage localisé par département - Gers;8.275;8.025;7.225;6.725;6.35;6.0;6.125;5.675;5.625;5.525;5.7
Taux de chômage localisé par département - Gironde;10.275;9.975;9.375;8.75;8.1;7.625;7.275;6.55;6.45;6.75;7.0
Taux de chômage localisé par département - Hérault;14.075;13.675;12.975;12.55;11.8;11.075;10.775;10.1;10.15;10.2;10.3
Taux de chômage localisé par département - Ille-et-Vilaine;8.2;7.9;7.2;6.825;6.425;6.475;5.825;5.4;5.625;5.8;6.05
Taux de chômage localisé par département - Indre;9.65;9.75;9.1;8.8;8.15;7.825;7.55;7.1;6.975;6.825;6.8
Taux de chômage localisé par département - Indre-et-Loire;9.275;9.125;8.525;8.15;7.75;7.175;6.825;6.475;6.575;6.6;6.65
Taux de chômage localisé par département - Isère;8.6;8.4;7.825;7.35;6.9;6.625;6.5;5.9;5.925;6.0;6.1
Taux de chômage localisé par département - Jura;7.75;7.525;6.85;6.4;6.125;5.775;5.375;5.05;5.225;5.275;5.55
Taux de chômage localisé par département - Landes;9.6;9.425;9.025;8.5;7.975;7.7;7.45;6.875;6.775;6.675;6.65
Taux de chômage localisé par département - Loir-et-Cher;8.975;8.675;8.0;7.725;7.15;6.575;6.4;6.0;5.975;6.125;6.3
Taux de chômage localisé par département - Loire;10.225;9.975;9.2;8.725;8.275;7.875;7.6;7.125;7.375;7.625;7.65
Taux de chômage localisé par département - Haute-Loire;8.4;8.25;7.4;7.075;6.625;6.225;6.0;5.6;5.65;5.575;5.6
Taux de chômage localisé par département - Loire-Atlantique;8.825;8.3;7.55;7.175;6.825;6.825;6.45;5.675;5.5;5.575;5.85
Taux de chômage localisé par département - Loiret;10.075;9.925;9.05;8.725;8.35;7.625;7.325;7.075;7.125;7.35;7.4
Taux de chômage localisé par département - Lot;9.175;9.075;8.775;8.575;8.275;7.95;7.825;7.3;7.3;7.2;7.1
Taux de chômage localisé par département - Lot-et-Garonne;10.3;10.15;9.25;8.9;8.55;7.9;7.85;7.425;7.2;7.275;7.5
Taux de chômage localisé par département - Lozère;6.45;6.325;5.95;5.75;5.375;5.15;5.05;4.625;4.725;4.725;4.7
Taux de chômage localisé par département - Maine-et-Loire;9.525;9.25;8.5;8.125;7.625;7.525;6.975;6.45;6.275;6.35;6.55
Taux de chômage localisé par département - Manche;8.3;7.975;7.225;6.75;6.15;5.975;5.475;5.075;5.125;5.275;5.3
Taux de chômage localisé par département - Marne;10.0;9.55;8.825;8.375;7.85;7.625;7.45;7.05;7.2;7.225;7.1
Taux de chômage localisé par département - Haute-Marne;9.825;9.425;8.55;8.1;7.475;7.125;6.7;6.25;6.425;6.55;6.55
Taux de chômage localisé par département - Mayenne;7.075;6.75;6.15;5.85;5.6;5.8;5.275;4.975;4.8;5.05;5.45
Taux de chômage localisé par département - Meurthe-et-Moselle;10.125;9.8;9.25;8.675;8.05;7.575;7.425;6.925;7.0;6.925;6.8
Taux de chômage localisé par département - Meuse;10.125;9.75;8.975;8.6;7.875;7.375;7.5;7.2;7.225;7.3;7.25
Taux de chômage localisé par département - Morbihan;9.4;9.075;8.4;7.875;7.275;6.925;6.5;5.775;5.85;5.825;5.8
Taux de chômage localisé par département - Moselle;10.6;10.125;9.55;8.825;8.225;7.775;7.775;7.1;7.075;7.125;7.1
Taux de chômage localisé par département - Nièvre;9.75;9.3;8.4;7.725;7.3;6.75;6.65;6.625;6.725;6.8;6.95
Taux de chômage localisé par département - Nord;13.05;12.6;12.175;11.9;10.975;10.0;9.725;9.25;9.625;9.575;9.65
Taux de chômage localisé par département - Oise;10.15;9.95;9.4;8.975;8.3;8.075;7.825;7.375;7.375;7.375;7.6
Taux de chômage localisé par département - Orne;9.475;9.275;8.625;8.275;7.775;7.425;7.125;6.575;6.525;6.8;7.1
Taux de chômage localisé par département - Pas-de-Calais;13.025;12.425;11.5;11.075;10.25;9.4;8.925;8.25;8.525;8.525;8.5
Taux de chômage localisé par département - Puy-de-Dôme;8.925;8.75;8.15;7.775;7.3;6.95;6.8;6.275;6.375;6.425;6.5
Taux de chômage localisé par département - Pyrénées-Atlantiques;8.65;8.275;7.8;7.5;6.975;6.7;6.325;5.725;5.625;5.7;5.8
Taux de chômage localisé par département - Hautes-Pyrénées;11.475;11.15;10.3;9.725;9.275;9.125;8.7;7.9;7.75;7.675;7.55
Taux de chômage localisé par département - Pyrénées-Orientales;15.325;15.125;14.325;14.075;13.55;12.525;12.225;11.625;11.975;12.125;11.95
Taux de chômage localisé par département - Bas-Rhin;8.975;8.75;8.1;7.525;7.125;6.925;6.75;6.15;6.3;6.425;6.5
Taux de chômage localisé par département - Haut-Rhin;9.975;9.775;9.0;8.3;7.95;7.95;7.775;6.825;6.975;7.15;7.1
Taux de chômage localisé par département - Rhône;9.275;9.0;8.375;8.025;7.575;7.3;7.075;6.375;6.35;6.475;6.75
Taux de chômage localisé par département - Haute-Saône;9.75;9.2;8.55;8.025;7.675;7.05;6.725;6.35;6.375;6.6;6.75
Taux de chômage localisé par département - Saône-et-Loire;9.3;9.025;8.325;7.825;7.525;7.0;6.55;6.3;6.525;6.525;6.65
Taux de chômage localisé par département - Sarthe;10.125;9.75;9.025;8.6;8.325;8.15;7.7;7.15;6.975;7.225;7.35
Taux de chômage localisé par département - Savoie;8.2;7.95;7.3;6.825;6.425;6.425;6.5;5.275;5.25;5.325;5.6
Taux de chômage localisé par département - Haute-Savoie;7.6;7.425;6.825;6.45;6.175;6.4;6.45;5.4;5.375;5.525;5.6
Taux de chômage localisé par département - Paris;8.2;7.85;7.375;7.025;6.55;6.475;6.5;5.75;5.7;5.7;5.9
Taux de chômage localisé par département - Seine-Maritime;11.225;11.25;10.6;10.1;9.425;9.05;8.575;7.825;7.8;8.05;8.25
Taux de chômage localisé par département - Seine-et-Marne;8.175;7.925;7.5;7.25;6.9;6.925;7.2;6.7;6.675;6.8;7.05
Taux de chômage localisé par département - Yvelines;7.425;7.4;6.975;6.85;6.45;6.425;6.65;6.4;6.425;6.525;6.85
Taux de chômage localisé par département - Deux-Sèvres;7.95;7.85;7.175;6.75;6.175;5.975;5.65;5.275;5.275;5.475;5.65
Taux de chômage localisé par département - Somme;12.025;11.975;11.25;10.775;10.025;9.4;9.125;8.65;8.625;8.375;8.3
Taux de chômage localisé par département - Tarn;11.05;10.675;10.025;9.6;8.95;8.225;8.025;7.8;7.85;7.85;7.95
Taux de chômage localisé par département - Tarn-et-Garonne;11.6;11.5;10.825;10.375;9.6;9.025;9.15;8.575;8.525;8.575;8.7
Taux de chômage localisé par département - Vaucluse;12.975;12.825;11.975;11.625;10.95;10.25;10.125;9.5;9.625;9.675;9.75
Taux de chômage localisé par département - Vendée;8.425;7.85;7.125;6.7;6.45;6.45;5.85;5.2;5.125;5.35;5.45
Taux de chômage localisé par département - Vienne;8.55;8.375;7.625;7.375;6.875;6.55;6.375;5.875;6.0;6.275;6.55
Taux de chômage localisé par département - Haute-Vienne;9.8;9.5;8.675;8.15;7.65;7.25;6.925;6.475;6.4;6.7;6.95
Taux de chômage localisé par département - Vosges;11.725;10.975;9.975;9.4;8.9;8.325;8.025;7.425;7.725;7.7;7.6
Taux de chômage localisé par département - Yonne;9.875;9.575;8.775;8.225;7.8;7.225;7.05;6.7;6.925;7.25;7.4
Taux de chômage localisé par département - Territoire de Belfort;11.5;10.825;9.6;9.15;8.95;8.975;8.925;8.15;8.375;8.825;9.15
Taux de chômage localisé par département - Essonne;7.7;7.625;7.225;7.0;6.625;6.65;6.725;6.375;6.375;6.45;6.75
Taux de chômage localisé par département - Hauts-de-Seine;7.85;7.55;7.075;6.875;6.5;6.375;6.55;5.9;5.825;6.0;6.4
Taux de chômage localisé par département - Seine-Saint-Denis;13.075;12.75;11.975;11.65;10.875;10.625;10.875;10.25;10.25;10.3;10.55
Taux de chômage localisé par département - Val-de-Marne;8.975;8.825;8.375;8.025;7.45;7.45;7.675;7.125;7.175;7.225;7.6
Taux de chômage localisé par département - Val-d'Oise;10.275;10.075;9.525;9.175;8.525;8.425;8.7;8.05;8.0;7.975;8.25
Taux de chômage localisé par département - Var;11.1;10.775;10.175;9.8;9.1;8.45;8.1;7.35;7.275;7.175;7.2
Taux de chômage localisé par département - Guadeloupe;23.575;23.8;22.35;22.625;20.675;17.375;17.25;18.5;18.45;16.7;16.15
Taux de chômage localisé par département - Martinique;17.9;17.75;17.85;17.325;14.95;12.45;12.875;12.35;10.75;12.375;13.35
Taux de chômage localisé par département - Guyane;21.975;22.9;21.875;19.0;19.35;16.125;13.75;13.075;13.625;16.775;16.8
Taux de chômage localisé par département - La Réunion;23.45;22.25;22.625;23.975;21.225;17.2;17.9;17.85;18.875;17.375;15.95
