GEO,GEO_OBJECT,SEX,AGE,EP_MEASURE,OBS_STATUS_FR,TIME_PERIOD,OBS_VALUE
52,REG,_T,Y40T59,POP,D,2019,977955.0
32,REG,M,Y_LT20,POP,D,2018,800618.0
32,REG,M,_T,POP,D,2014,2914104.0
53,REG,F,_T,POP,D,2018,1714799.0
6,REG,M,Y40T59,POP,D,2015,17878.0
76,REG,M,Y_GE75,POP,D,2014,237176.0
84,REG,_T,_T,POP,D,2014,7820966.0
44,REG,F,Y40T59,POP,D,2017,755859.0
44,REG,M,Y20T39,POP,D,2015,672558.0
52,REG,M,Y20T39,POP,D,2015,430738.0
6,REG,_T,Y20T39,POP,D,2018,69047.0
11,REG,F,Y60T74,POP,D,2019,878916.0
44,REG,_T,Y20T39,POP,D,2016,1325416.0
24,REG,F,_T,POP,D,2016,1327678.0
2,REG,M,Y_LT20,POP,D,2015,47397.0
28,REG,_T,Y_GE75,POP,D,2015,325616.0
27,REG,F,Y60T74,POP,D,2019,276149.0
24,REG,F,Y_GE75,POP,D,2019,165931.0
93,REG,M,Y20T39,POP,D,2016,556482.0
76,REG,F,Y_LT20,POP,D,2014,640571.0
75,REG,F,Y20T39,POP,D,2014,645471.0
53,REG,F,Y20T39,POP,D,2015,358616.0
3,REG,_T,Y_LT20,POP,D,2018,116367.0
11,REG,F,Y20T39,POP,D,2014,1768699.0
11,REG,F,Y40T59,POP,D,2019,1641970.0
84,REG,_T,Y40T59,POP,PROV,2024,2112147.0
28,REG,M,Y20T39,POP,PROV,2023,373085.0
76,REG,_T,Y_GE75,POP,PROV,2024,725242.0
2,REG,_T,Y40T59,POP,D,2022,102083.0
27,REG,M,Y60T74,POP,D,2021,259686.0
75,REG,M,Y_GE75,POP,D,2021,273808.0
1,REG,F,Y40T59,POP,PROV,2025,58397.0
76,REG,F,Y_LT20,POP,PROV,2024,650266.0
3,REG,M,Y20T39,POP,PROV,2024,35761.0
94,REG,M,_T,POP,D,2020,167035.0
52,REG,F,Y20T39,POP,PROV,2024,440905.0
93,REG,_T,Y20T39,POP,D,2022,1145242.0
76,REG,M,Y40T59,POP,PROV,2023,765173.0
94,REG,M,Y_GE75,POP,D,2017,15171.0
6,REG,F,Y_GE75,POP,D,2018,1241.0
11,REG,_T,Y60T74,POP,D,2019,1643374.0
76,REG,F,Y_LT20,POP,D,2015,643641.0
94,REG,_T,Y_LT20,POP,D,2018,69020.0
32,REG,F,Y40T59,POP,D,2015,802892.0
2,REG,F,Y40T59,POP,D,2017,63799.0
94,REG,_T,Y60T74,POP,D,2014,56867.0
27,REG,_T,Y_GE75,POP,D,2014,297351.0
28,REG,F,_T,POP,D,2014,1720922.0
11,REG,M,Y_GE75,POP,D,2014,297060.0
3,REG,_T,Y60T74,POP,D,2017,18313.0
11,REG,F,_T,POP,PROV,2023,6401994.0
94,REG,_T,Y_GE75,POP,D,2022,41121.0
94,REG,F,Y_GE75,POP,PROV,2023,24328.0
2,REG,_T,Y60T74,POP,PROV,2024,80684.0
6,REG,F,Y_LT20,POP,PROV,2023,84286.0
44,REG,M,Y20T39,POP,D,2020,660105.0
27,REG,_T,Y60T74,POP,D,2022,546082.0
94,REG,_T,Y_GE75,POP,PROV,2025,45270.0
6,REG,_T,Y_LT20,POP,PROV,2024,172162.0
28,REG,_T,Y20T39,POP,PROV,2023,742988.0
76,REG,F,Y_LT20,POP,D,2022,652452.0
44,REG,M,Y20T39,POP,D,2021,660761.0
4,REG,_T,Y_GE75,POP,D,2020,44131.0
94,REG,_T,Y20T39,POP,PROV,2023,76598.0
24,REG,_T,_T,POP,PROV,2024,2582015.0
2,REG,M,Y20T39,POP,PROV,2023,29924.0
44,REG,_T,Y60T74,POP,D,2022,1018078.0
52,REG,F,Y40T59,POP,D,2021,495293.0
93,REG,M,_T,POP,PROV,2025,2511416.0
32,REG,_T,_T,POP,PROV,2024,5982538.0
75,REG,M,Y_LT20,POP,D,2020,668018.0
11,REG,M,_T,POP,D,2020,5928065.0
1,REG,_T,_T,POP,D,2018,387629.0
2,REG,_T,Y20T39,POP,D,2014,76841.0
3,REG,_T,Y_LT20,POP,D,2014,108615.0
44,REG,F,Y_GE75,POP,D,2019,320391.0
84,REG,F,Y40T59,POP,D,2015,1059846.0
27,REG,M,_T,POP,D,2014,1375247.0
84,REG,M,Y_GE75,POP,D,2015,274898.0
1,REG,F,_T,POP,D,2019,208513.0
1,REG,M,Y_GE75,POP,D,2019,12940.0
52,REG,M,Y_GE75,POP,D,2015,137250.0
76,REG,M,Y_GE75,POP,D,2018,248240.0
27,REG,M,Y40T59,POP,D,2017,366617.0
27,REG,M,_T,POP,PROV,2023,1367650.0
53,REG,M,Y20T39,POP,PROV,2023,377560.0
32,REG,M,Y20T39,POP,D,2020,722231.0
28,REG,_T,Y_LT20,POP,PROV,2025,758915.0
3,REG,_T,Y_GE75,POP,PROV,2024,7381.0
53,REG,F,_T,POP,PROV,2024,1773506.0
27,REG,_T,Y_LT20,POP,PROV,2025,607458.0
4,REG,F,Y_GE75,POP,PROV,2024,31093.0
32,REG,M,Y_GE75,POP,PROV,2025,216398.0
76,REG,_T,Y20T39,POP,D,2020,1345521.0
53,REG,_T,Y40T59,POP,PROV,2024,881177.0
53,REG,F,Y40T59,POP,PROV,2024,442808.0
4,REG,F,_T,POP,D,2022,461420.0
93,REG,M,Y40T59,POP,PROV,2025,644928.0
6,REG,_T,Y60T74,POP,PROV,2025,11201.0
84,REG,M,Y_GE75,POP,D,2021,304834.0
84,REG,F,Y40T59,POP,D,2022,1062770.0
93,REG,F,Y20T39,POP,D,2021,577014.0
28,REG,F,Y60T74,POP,D,2020,326218.0
93,REG,M,Y60T74,POP,PROV,2025,449482.0
6,REG,_T,Y_GE75,POP,D,2021,2606.0
1,REG,M,Y20T39,POP,D,2020,32485.0
